Company,Orig,Review,Cocao,Location,Rating,Type,BroadOrig
Cacao Atlanta,Dominican Republic w/ nibs,2010,75%,U.S.A.,2.75,A,Dominican Republic
Cacao Atlanta,Patanemo,2010,75%,U.S.A.,2.25,A,Venezuela
Cacao Barry,Santo Domingo,2010,70%,France,3,A,Dominican Republic
Cacao Barry,Tanzania,2008,75%,France,2,A,Tanzania
Cacao Barry,Venezuela,2007,72%,France,2,A,Venezuela
Cacao Barry,Mexico,2007,66%,France,3,A,Mexico
Cacao de Origen,Agua Fria; Sucre region,2014,75%,Venezuela,2.5,A,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,2014,74%,Venezuela,3.25,A,Venezuela
Cacao de Origin,Hacienda la Trinidad,2015,74%,Venezuela,3.25,A,Venezuela
Cacao Hunters,Macondo,2016,71%,Colombia,3.75,A,Colombia
Cacao Hunters,Perla Negra,2016,74%,Colombia,3.75,A,Colombia
Cacao Hunters,Arhuacos,2015,72%,Colombia,3.75,A,Colombia
Cacao Hunters,Sierra Nevada,2014,64%,Colombia,3.5,A,Colombia
Cacao Hunters,Tumaco,2014,70%,Colombia,3.5,A,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2014,69%,Colombia,2.75,A,Colombia
Cacao Hunters,Arauca,2014,70%,Colombia,3.25,A,Colombia
Cacao Prieto,"Dominican Republicm, rustic",2011,72%,U.S.A.,3,A,Dominican Republic
Cacao Prieto,Dominican Republic,2011,66%,U.S.A.,3.75,A,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",2011,65%,U.S.A.,3.25,A,Dominican Republic
Cacao Sampaka,Ecuador,2010,71%,Spain,3.75,A,Ecuador
Cacao Sampaka,Papua,2010,71%,Spain,4,A,Papua New Guinea
Cacao Sampaka,Venezuela,2010,71%,Spain,3.5,A,Venezuela
Cacao Sampaka,Venezuela,2010,77%,Spain,3.5,A,Venezuela
Cacao Store,Peru,2015,70%,Japan,3.25,A,Peru
Cacaosuyo (Theobroma Inversiones),Piura,2013,70%,Peru,3.25,A,Peru
Callebaut,Baking,2007,70%,Belgium,1,A,Ecuador
C-Amaro,Cuba,2014,75%,Italy,2.5,A,Cuba
C-Amaro,Dominican Republic,2014,72%,Italy,3,A,Dominican Republic
C-Amaro,Ecuador,2013,100%,Italy,3.5,A,Ecuador
C-Amaro,Venezuela,2012,80%,Italy,3,A,Venezuela
Cao,Tanzania,2016,73%,U.S.A.,2.75,A,Tanzania
Cao,Bolivia,2016,75%,U.S.A.,3,A,Bolivia
Captain Pembleton,Kulili Estate,2014,70%,New Zealand,3.75,A,Papua New Guinea
Caribeans,"Antigua, Special Reserve",2015,72%,Costa Rica,3.5,A,Guatemala
Caribeans,"Talamanca, Raul-Kekoldo community",2015,72%,Costa Rica,3.25,A,Costa Rica
Caribeans,Anselmo Paraiso Estate,2015,72%,Costa Rica,3.5,A,Costa Rica
Castronovo,"Piaroa, Amazonas, Batch 350",2015,72%,U.S.A.,3.5,A,Venezuela
Castronovo,"Guaniamo, Amazonas",2013,70%,U.S.A.,3.25,A,Venezuela
Castronovo,Guaniamo,2013,72%,U.S.A.,3,A,Venezuela
Cello,Ecuador,2014,70%,U.S.A.,2.5,A,Ecuador
Cello,Peru,2014,70%,U.S.A.,2.75,A,Peru
Cello,Venezuela,2014,70%,U.S.A.,2.75,A,Venezuela
Cello,Bolivia,2014,70%,U.S.A.,3,A,Bolivia
Cemoi,Equateur,2009,72%,France,2.75,A,Ecuador
Charm School,Maya Mtn,2016,70%,U.S.A.,3.25,A,Belize
Chequessett,la Amistad,2014,70%,U.S.A.,3.5,A,Costa Rica
Chloe Chocolat,Blend No. 1,2011,70%,France,3.5,A,Â 
Chocablog,Ecuador,2015,70%,U.K.,3.25,A,Ecuador
Chocolarder,Dominican Republic,2015,80%,U.K.,2.5,A,Dominican Republic
Chocola'te,Venezuela,2011,68%,U.S.A.,3.75,A,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",2016,90%,U.S.A.,2.5,A,Peru
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",2016,80%,U.S.A.,2.5,A,Â 
Chocolate Con Amor,Wild Bolivian,2016,70%,U.S.A.,2.5,A,Bolivia
Chocolate Con Amor,Uganda,2016,70%,U.S.A.,2.75,A,Uganda
Chocolate Con Amor,Dominican Republic,2016,60%,U.S.A.,3,A,Dominican Republic
Chocolate Con Amor,Dominican Republic,2016,75%,U.S.A.,3,A,Dominican Republic
Chocolate Con Amor,Ecuador,2016,70%,U.S.A.,3.25,A,Ecuador
Chocolate Con Amor,Nicaragua,2016,80%,U.S.A.,2.75,A,Nicaragua
Chocolate Conspiracy,Peru,2014,74%,U.S.A.,2.75,A,Peru
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2011,65%,Canada,3.25,A,Mexico
Chocovic,Kendari,2009,60%,Spain,3.25,A,Â 
Chocovic,Tarakan,2009,75%,Spain,3.25,A,Â 
Choklat,Brazilian,2009,70%,Canada,3,A,Brazil
Choklat,Brazilian,2009,80%,Canada,3,A,Brazil
Chokolat Elot (Girard),Guadeloupe,2013,42%,Martinique,2.75,A,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2016,75%,Canada,3.25,A,Mexico
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",2015,73%,U.S.A.,3.5,A,Ecuador
Compania de Chocolate (Salgado),Sur del Lago,2010,70%,Argentina,3.25,A,Venezuela
Compania de Chocolate (Salgado),Moxos,2008,72%,Argentina,3.25,A,Bolivia
Condor,Camino Verde,2015,76%,U.S.A.,3.5,A,Ecuador
Coppeneur,Ecuador Puristique,2012,100%,Germany,1.5,A,Ecuador
Cote d' Or (Kraft),Sensations Intense,2006,70%,Belgium,1,A,Â 
Daintree,Goodman Estate,2015,70%,Australia,2.75,A,Australia
Daintree,"Daintree Estates, N. Queensland",2011,70%,Australia,3.25,A,Australia
Dalloway,"Dominican Republic, batch 7",2017,72%,U.S.A.,2.75,A,Dominican Republic
Damson,Los Rios,2015,70%,U.K.,3.5,A,Ecuador
Damson,Crayfish Bay aka Non Pariel Estate,2015,70%,U.K.,2.25,A,Grenada
Damson,O'Payo,2015,70%,U.K.,2.75,A,Nicaragua
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",2016,70%,U.S.A.,3.75,A,Â 
Dandelion,"Camino Verde P., Balao, Guayas, 2013",2014,70%,U.S.A.,3.5,A,Ecuador
Dandelion,Buto,2014,70%,U.S.A.,2.75,A,Liberia
Dandelion,"San Francisco de Macoris, Cibao region",2014,70%,U.S.A.,3.75,A,Dominican Republic
Dandelion,"Cumboto, farmer Jose Lugo",2013,70%,U.S.A.,2.75,A,Venezuela
Dandelion,Patanemo,2013,70%,U.S.A.,3.25,A,Venezuela
Dandelion,"Mantuano, 2012",2013,70%,U.S.A.,3.5,A,Venezuela
Dandelion,Papua New Guinea,2013,70%,U.S.A.,3.5,A,Papua New Guinea
Dandelion,Upala,2012,70%,U.S.A.,3,A,Costa Rica
Dandelion,Colombian,2012,70%,U.S.A.,3.25,A,Colombia
Dandelion,"Elvesia, 2011",2012,70%,U.S.A.,3.75,A,Dominican Republic
Dandelion,Dominican Republic,2011,70%,U.S.A.,3.25,A,Dominican Republic
Dandelion,Tanzania,2011,70%,U.S.A.,3.25,A,Tanzania
Danta,Los Ujuxtes,2014,82%,Guatemala,3.25,A,Guatemala
Danta,Los Ujuxtes,2012,70%,Guatemala,3.75,A,Guatemala
Danta,"Oscuro, Finca Chimelb",2012,70%,Guatemala,3.25,A,Guatemala
Danta,Los Ujuxtes,2011,60%,Guatemala,3.5,A,Guatemala
DAR,"Venezuela, batch 122",2016,72%,U.S.A.,2.75,A,Venezuela
DAR,"DUO, batch 002",2016,70%,U.S.A.,3.25,A,"Ecuador, Costa Rica"
Dark Forest,Bolivia,2016,75%,U.S.A.,3.25,A,Bolivia
Dark Forest,Ocumare,2015,70%,U.S.A.,3.25,A,Venezuela
Dark Forest,Tanzania,2015,70%,U.S.A.,3,A,Tanzania
Dark Forest,Ecuador,2015,70%,U.S.A.,3.25,A,Ecuador
Davis,Rainforest,2013,70%,U.S.A.,2.75,A,Dominican Republic
Davis,Venezuela,2013,70%,U.S.A.,2.75,A,Venezuela
De Mendes,"Nativo, Varzea",2015,72%,Brazil,3.5,A,Brazil
De Mendes,"Selvagem, Jari",2015,65%,Brazil,3.5,A,Brazil
De Villiers,"Sambirano Valley, batch 2477",2016,70%,South Africa,3,A,Madagascar
Dean and Deluca (Belcolade),Costa Rica,2007,64%,U.S.A.,3,A,Costa Rica
Dean and Deluca (Belcolade),Ecuador,2007,71%,U.S.A.,3,A,Ecuador
Dean and Deluca (Belcolade),Papua New Guinea,2007,64%,U.S.A.,3,A,Papua New Guinea
Dean and Deluca (Belcolade),Peru,2007,64%,U.S.A.,3,A,Peru
Debauve & Gallais (Michel Cluizel),Papua New Guinea,2009,64%,France,3,A,Papua New Guinea
Debauve & Gallais (Michel Cluizel),Venezuela,2008,66%,France,3.75,A,Venezuela
Desbarres,"Kilombero, batch 41",2016,72%,Canada,2.5,A,Tanzania
DeVries,Bolivian,2008,80%,U.S.A.,2.75,A,Bolivia
DeVries,Dominican Republic,2007,77%,U.S.A.,3.5,A,Dominican Republic
Dick Taylor,Lanquin Estate,2017,70%,U.S.A.,3.75,A,Guatemala
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",2015,70%,U.S.A.,3.75,A,Bolivia
Dick Taylor,Elvesia,2014,74%,U.S.A.,3.5,A,Dominican Republic
Dick Taylor,"Ecuador, Choc. Garage Exclusive",2013,70%,U.S.A.,3.25,A,Ecuador
Dick Taylor,Camino Verde,2013,76%,U.S.A.,3.5,A,Ecuador
Dick Taylor,Bolivia,2012,75%,U.S.A.,2.75,A,Bolivia
Dick Taylor,La Red,2011,74%,U.S.A.,3,A,Dominican Republic
Dick Taylor,Ecuador,2011,70%,U.S.A.,3.25,A,Ecuador
Doble & Bignall,Puerto Cabello,2015,85%,U.K.,3,A,Venezuela
Doble & Bignall,"Panama, Raven",2014,72%,U.K.,3.25,A,Panama
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",2009,70%,U.S.A.,3.75,A,Hawaii
Dolfin (Belcolade),Noir,2006,70%,Belgium,1.5,A,Â 
Domori,Hacienda Victoria,2015,70%,Italy,3.75,A,Ecuador
Domori,Morogoro,2012,70%,Italy,3.5,A,Tanzania
Domori,Teyuna,2008,70%,Italy,3,A,Colombia
Duffy's,Ocumare,2012,72%,U.K.,3.75,A,Venezuela
Duffy's,Dominican Republic,2011,65%,U.K.,3.5,A,Dominican Republic
Duffy's,"Bocas del Toro, Tierra Oscura",2011,72%,U.K.,3,A,Panama
Duffy's,Ocumare,2011,71%,U.K.,3.5,A,Venezuela
Duffy's,Panama,2010,70%,U.K.,3.5,A,Panama
Duffy's,"Corazon del Ecuador, Calceta beans",2010,72%,U.K.,3.75,A,Ecuador
Duffy's,Star of Ecuador,2010,70%,U.K.,2.5,A,Ecuador
Duffy's,Star of Peru,2010,70%,U.K.,3.75,A,Peru
Dulcinea,Dominican Republic,2015,70%,U.S.A.,3.25,A,Dominican Republic
Durci,Taino Secret,2015,70%,U.S.A.,3.25,A,Domincan Republic
Durci,Corona Arriba,2015,70%,U.S.A.,4,A,Ecuador
East Van Roasters,Peru,2014,70%,Canada,3.25,A,Peru
East Van Roasters,Dominican Republic,2014,70%,Canada,3.75,A,Dominican Republic
Eau de Rose,Tumaco,2016,70%,Canada,3.25,A,Colombia
Eau de Rose,Arauca,2016,70%,Canada,3.25,A,Colombia
El Ceibo,"Alto Beni, Covendo Region",2011,75%,Bolivia,3.75,A,Bolivia
El Ceibo,Alto Beni,2008,71%,Bolivia,2.75,A,Bolivia
El Rey,San Joaquin,2015,70%,Venezuela,3.75,A,Venezuela
Emerald Estate,Emerald Estate,2013,60%,St. Lucia,2.75,A,St. Lucia
Emerald Estate,Emerald Estate,2013,70%,St. Lucia,3.25,A,St. Lucia
Emily's,Patanemo,2015,79%,Japan,3,A,Venezuela
ENNA,"Wampusirpi, batch 007",2016,75%,U.S.A.,3.25,A,Honduras
Escazu,Guapiles,2009,65%,U.S.A.,2,A,Costa Rica
Escazu,"Carenero, Guapiles, Ocumare blend",2009,74%,U.S.A.,2.75,A,"Cost Rica, Ven"
Ethel's Artisan (Mars),"Peru, Madagascar",2011,55%,U.S.A.,2.5,A,"Peru, Madagascar"
Ethel's Artisan (Mars),Red Vanilla,2011,62%,U.S.A.,2.75,A,Â 
Ethel's Artisan (Mars),"Venezuela, Trinidad",2011,62%,U.S.A.,2.5,A,"Venezuela, Trinidad"
Ethereal,Ecuador,2014,80%,U.S.A.,3.5,A,Ecuador
Ethereal,Dominican Republic,2014,80%,U.S.A.,3.75,A,Dominican Republic
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",2010,75%,U.S.A.,2.75,A,Brazil
Feitoria Cacao,Blue Mountain,2016,76%,Portugal,3,A,Jamaica
Feitoria Cacao,Cuyagua,2016,76%,Portugal,2.5,A,Venezuela
Felchlin,Supremo- SF,2006,62%,Switzerland,2,A,Â 
Finca,Puerto Rico,2014,65%,U.S.A.,2.25,A,Puerto Rico
Finca,Dominican Republic,2014,80%,U.S.A.,3,A,Dominican Republic
Finca,Dominican Republic,2014,70%,U.S.A.,3.25,A,Dominican Republic
Finca,Dominican Republic,2014,85%,U.S.A.,2.5,A,Dominican Republic
Forteza (Cortes),Dominican Republic,2016,70%,Puerto Rico,2.75,A,Domincan Republic
Forteza (Cortes),Puerto Rico,2016,80%,Puerto Rico,2.75,A,Domincan Republic
Fossa,"Akesson's E., Sambirano V.",2016,70%,Singapore,2.75,A,Madagascar
Fossa,"Camino Verde P., Balao, Guayas",2016,75%,Singapore,3.5,A,Ecuador
Franceschi,Choroni,2014,70%,Venezuela,3.5,A,Venezuela
Franceschi,Ocumare,2014,70%,Venezuela,3.75,A,Venezuela
Franceschi,Canoabo,2012,70%,Venezuela,3.75,A,Venezuela
Franceschi,Sur del Lago,2012,60%,Venezuela,3.5,A,Venezuela
Frederic Blondeel,Costa Rica,2015,70%,Belgium,3.5,A,Costa Rica
Frederic Blondeel,Peru Brutus,2015,75%,Belgium,3.5,A,Peru
French Broad,"Norandino, batch 161208",2017,70%,U.S.A.,3.5,A,Peru
French Broad,Guatemala,2015,73%,U.S.A.,3.5,A,Guatemala
French Broad,San Andres,2014,80%,U.S.A.,3,A,Costa Rica
French Broad,Matagalpa,2014,68%,U.S.A.,3.25,A,Nicaragua
French Broad,"Palo Blanco, Chulucanas",2013,66%,U.S.A.,3.5,A,Peru
French Broad,"Palo Blanco, Chulucanas",2012,61%,U.S.A.,3.5,A,Peru
French Broad,"Palo Blanco w/ panela, Chulucanas",2012,81%,U.S.A.,2,A,Peru
French Broad,La Red,2011,65%,U.S.A.,3.5,A,Dominican Republic
Fresco,"Conacado, #223, MR, SC",2013,72%,U.S.A.,3.25,A,Dominican Republic
Fresco,"Conacado, #224, MR, MC",2013,72%,U.S.A.,3.75,A,Dominican Republic
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",2013,70%,U.S.A.,3.75,A,Peru
Fresco,"Markham Valley, #219, LR, MC",2012,69%,U.S.A.,3.5,A,Papua New Guinea
Fresco,"Markham Valley, #221, DR, MC",2012,69%,U.S.A.,3.5,A,Papua New Guinea
Fresco,"Conacado, #212, LR, SC",2011,72%,U.S.A.,3.5,A,Dominican Republic
Fresco,"Conacado, #213, DR, -C",2011,72%,U.S.A.,3.25,A,Dominican Republic
Friis Holm,"Rugoso, Bad Fermentation",2016,70%,Denmark,3.5,A,Nicaragua
Friis Holm (Bonnat),La Dalia,2015,60%,Denmark,3,A,Nicaragua
Friis Holm (Bonnat),La Dalia,2015,85%,Denmark,3.25,A,Nicaragua
Friis Holm (Bonnat),La Dalia,2014,70%,Denmark,3.5,A,Nicaragua
Friis Holm (Bonnat),"Barba, Xoco",2013,70%,Denmark,3.25,A,Nicaragua
Friis Holm (Bonnat),"Medagla, Xoco",2013,70%,Denmark,3.5,A,Nicaragua
Friis Holm (Bonnat),"Rugoso, Xoco",2012,70%,Denmark,3.75,A,Nicaragua
Fruition,La Red,2013,70%,U.S.A.,3.75,A,Dominican Republic
Fruition,Camino Verde,2013,75%,U.S.A.,3,A,Ecuador
Fruition,Peru,2012,70%,U.S.A.,2.5,A,Peru
Fruition,Costa Rica,2011,70%,U.S.A.,3,A,Costa Rica
