Apartment Name,Address,Phone,Price Low,Price High,StatusFall25,Housing Type,Residents,ParkingSpaces,Deposit,FloorPlanNumber,WebAddress,Latitude,Longitude,PublicDescription,CrowFlyMetersToMC,CrowFlyMetersToRicks
AT THE GROVE,349 Harvard Ave,512-363-2396,1400,1400,Full,Approved Women's Housing,6,6,150,1,atthegroveapts.com,43.81865937,-111.7763239,"At The Grove is a spacious basement apartment, located just a stone's throw away from the east side of campus, and around the corner from the temple. Here you will enjoy the feeling of ""home,"" in apartment laundry, great managers, a great ward, and a large backyard. You'll feel right at home here At The Grove!",496.6625773,582.4026055
AUTUMN WINDS - MEN,"160 W 5th S Rexburg, ID
                                                        83440-2400",(208) 356-0821,2079,2079,Full,Approved Men's Housing,24,150,150,1,www.rexburghousing.com/autumn-winds,43.81599246,-111.7884877,"Private rooms! Only 4 students per apartment. Two bathroom and in-unit W/D.  Very well maintained and close to campus!!  We have plenty of parking, a nice lounge, a fantastic ward, and a long list of Rexburg Housing amenities that include 2 swimming pools, theater room, free haircuts, and much more! Spots in Autumn Winds get reserved extremely quickly, so sign up for your own private room NOW!",553.8820399,588.1976565
AUTUMN WINDS - WOMEN,160 W 5th S,208-356-0821,2079,2079,Full,Approved Women's Housing,96,150,150,1,www.rexburghousing.com/autumn-winds,43.81599246,-111.7884877,"Autumn Winds offers Private rooms with only 4 people per apartment! There are two bathrooms with 2 sinks each, so you will have your own vanity area. Each apartment has in-unit W/D, so you won't need to drag your laundry anywhere. We have plenty of parking, a nice lounge, a fantastic ward, and a long list of Rexburg Housing amenities. Space at Autumn Winds goes quickly, so reserve your spot today!",553.8820399,588.1976565
AVONLEA - MEN,"175 W 3rd S Rexburg, ID
                                                        83440-2102",208-359-0920,1115,1335,Full,Approved Men's Housing,76,31,80,15,www.rexburgstudenthousing.com/new/property/14,43.820138,-111.788876,"A short three-minute walk to the Hart Building! Enjoy a great social atmosphere living directly across from Avonlea Women. Tons of parking is available in our overflow lot. The massive bedrooms feature in-bedroom bathrooms. Amenities include two fridges, wall-mounted TVs, free laundry, and an awesome lounge with a barbecue patio, ping pong, foosball, and a large movie room!",547.2946257,841.9502739
AVONLEA-WOMEN,175 W 3rd S,208-359-6320,1235,1845,Full,Approved Women's Housing,66,54,90,3,rexburgstudenthousing.com/new/property/29,43.820138,-111.788876,"A short three-minute walk to the Hart Building! Enjoy a great social atmosphere living directly across from Avonlea Women. Tons of parking is available in our overflow lot. The massive bedrooms feature in-bedroom bathrooms. Amenities include two fridges, wall-mounted TVs, free laundry, and an awesome lounge with a barbecue patio, ping pong, foosball, and a large movie room!",547.2946257,841.9502739
BAYSIDE MANOR,248 1/2 Cornell Ave,208-794-0652,920,1020,Full,Approved Women's Housing,8,8,90,1,baysidemanor.blogspot.com,43.82065271,-111.7798457,"With its prime location close to the girls dorms and across the street from campus, you can get the off-campus experience and great location all at the same time. Bayside Manor is a basement apartment that houses 8 girls. It has 3 large bedrooms, 2 bathrooms, 2 refrigerators, study room, storage room, laundry room, fireplace, internet, cable t.v., yard, & lots of space! Call today 208-794-0652",325.1113251,652.5673294
BIRCH PLAZA - MEN,"236 S 1st W Rexburg, ID
                                                        83440-2160",(208) 359-8200,1249,1249,NA,Approved Men's Housing,98,60,150,6,www.rexburghousing.com/birch-plaza,43.82093525,-111.78819,"Some choose to spend all of their BYU-Idaho years living at Birch Plaza. That's how good it is. The wards are outstanding, and there's a sense of community that you'll find almost nowhere else. Birch Plaza has an onsite a hot tub, an exercise room, and a spacious lounge. It's also right across the street from the BYU Idaho stadium! You'll love it here.",535.853813,869.6825282
BIRCH PLAZA - WOMEN,236 S 1st W,208-359-8200,1369,1869,Full,Approved Women's Housing,173,100,150,3,www.rexburghousing.com/birch-plaza,43.82093525,-111.78819,"Some girls choose to spend all of their BYU-Idaho years living at Birch Plaza. That's how good it is. The wards are outstanding, and there's a sense of community that you'll find almost nowhere else. Birch Plaza has a hot tub, an exercise room, and a spacious lounge. It's also right across the street from the BYU Idaho stadium! You'll love it here.",535.853813,869.6825282
BIRCH WOOD I,253 S 2nd W,208-359-8200,1399,1849,Full,Approved Women's Housing,65,20,150,2,www.rexburghousing.com/birch-plaza,43.8203779,-111.7891556,"Birch Plaza Premium is a very special place. The ward is outstanding, as are the residents. There's a hot tub and ample parking. A city park is one block away, and BYUI campus is half a block in the other direction. We've got girls from across the country and around the globe, including many returned missionaries. You'll love Birch Plaza Premium!",577.8550248,876.6499643
BIRCH WOOD II,253 S 2nd W,208-359-8200,1479,1899,Waiting List,Approved Women's Housing,24,20,150,1,www.rexburghousing.com/birch-plaza,43.8203779,-111.7891556,"Extra large PRIVATE rooms, with some shared rooms as well. Washer and dryer inside your apartment! Across the street from campus. With the BEST student ward! Hurry and sign up, because these very limited spots always fill up early. You're going to LOVE Birchwood II!",577.8550248,876.6499643
BLUE DOOR THE - WOMEN,123 Princeton Ct.,208-356-3001,995,1155,Full,Approved Women's Housing,24,25,90,2,www.rexburgstudenthousing.com/new/property/1,43.82347422,-111.7792019,"At Blue Door, you’ll have two fridges, an in-unit washer/dryer, and a TV! There is an impressive open space with volleyball courts, a fire pit, and a basketball court. The social atmosphere is amazing! The lounge has ping pong, foosball, a piano, and a large TV for movie nights.",618.7385981,970.2613741
"BLUE DOOR, THE - MEN","123 Princeton Ct Rexburg, ID
                                                        83440",(208) 356-3001,1075,1075,NA,Approved Men's Housing,24,25,80,2,www.rexburgstudenthousing.com/new/property/1,43.82347422,-111.7792019,"At Blue Door, you’ll have two fridges, an in-unit washer/dryer, and a TV! There is an impressive open space with volleyball courts, a fire pit, and a basketball court. The social atmosphere is amazing! The lounge has ping pong, foosball, a piano, and a large TV for movie nights.",618.7385981,970.2613741
BOUNTIFUL PLACE,"345 W 5th S Rexburg, ID
                                                        83440",(208) 351-7080,1125,1125,Full,Approved Men's Housing,130,85,75,5,www.bountifulplace.com,43.81474992,-111.793769,"Make Bountiful Place your home for just $1099. Large bedrooms, newer construction, high ceilings, modern furnishings, a piano in the lounge, and study rooms on site make this complex an amazing deal. Bountiful offers AC, 50"" flat-screen TV with Roku, free laundry, a fire pit, 2 fridges, large bedrooms, and waffles every Wednesday! Call/text us today at 208-351-7080!",995.7534342,1000.082619
BRIARWOOD APARTMENTS,"165 E 2nd S Rexburg, ID
                                                        83440-2259",208-356-3001,1095,1195,Full,Approved Men's Housing,24,50,80,3,www.rexburgstudenthousing.com/new/property/3,43.82235957,-111.778923,"Briarwood is a small, tight-knit community of four apartments that shares a lounge with neighboring Greenbrier (men and women housing). The lounge has ping-pong, foosball, a piano, study tables, and a TV for movie nights! Each unit has a free washer and dryer, dishwasher, spacious bedrooms, a huge bathroom, two standing showers, and a two-sink vanity. There is tons of parking at Briarwood.",521.5393462,853.4906656
BRIGHTON APARTMENTS - MEN,"242 W 6th S Rexburg, ID
                                                        83440-2411",208-356-9693,1350,1475,Full,Approved Men's Housing,108,165,150,10,www.brightonhousing.net,43.8129693,-111.7904967,"You'll easily find your home away from home at Brighton! Four different floor plans with private rooms and shared rooms available. Laundry in each apartment/townhouse, TV's, reliable internet. Quiet, fun and friendly atmosphere. Laundry, free parking with 165 spaces, A/C, and all utilities included! 
Our office is located in the clubhouse. Open M-F 9-5, (208)356-9693",885.679835,766.6934862
BRIGHTON APARTMENTS - WOMEN,225 W6th S #9,208-356-9693,1475,1525,Full,Approved Women's Housing,60,165,150,3,www.brightonhousing.net,43.8129693,-111.7904967,"Come see our girls townhomes! Built the summer of 2012 and 2016. Only 4 girls to a townhome! 2 Large and roomy bedrooms upstairs. Washer and dryer in each townhome. Club house with a pool table, ping pong, air hockey table, kitchen, fireplace & large flat screen. 

NO hidden fees! FREE parking, laundry, Optix internet and utilities! Office is in the clubhouse. Open M-F (208) 356-9693",885.679835,766.6934862
BROOKLYN APARTMENTS,345 S Center St.,208-356-9503,1095,1095,Waiting List,Approved Women's Housing,144,45,150,3,craiglandhousing.com/new/property/1,43.81866711,-111.7890135,"Brooklyn Apartments is a wonderful place to live, study, meet new friends and grow. Living here makes socializing, getting to class and shopping easier as we are located in the heart of Rexburg and only one block from campus. Our new furniture and carpet offers quality and comfortable living at a great low price. Come by and check us out!",525.423303,747.1153095
BROOKSIDE VILLAGE - MEN,"487 S 3rd W Rexburg, ID
                                                        83440-2367",(208) 356-0788,1899,1899,Full,Approved Men's Housing,60,98,150,1,www.rexburghousing.com/brookside-village,43.81582215,-111.7916045,"Brookside Village is a unique community of private bedroom town homes. We offer a large party kitchen and dining area.  The bedrooms have built in dresser and shelves in the closet. Storage rooms are in the apartment, so you don't have to go very far to leave your items on your off track. This is the perfect place if you are looking for privacy and a social lifestyle all mixed into one!",788.8623934,832.4336259
BROOKSIDE VILLAGE - WOMEN,487 S 3rd W,208-356-0788,1899,1899,Waiting List,Approved Women's Housing,86,96,150,5,www.rexburghousing.com/brookside-village,43.81582215,-111.7916045,"Brookside Village is a unique community of private bedroom town homes. We offer a large party kitchen and dining area.  The bedrooms have built in dresser and shelves in the closet. Storage rooms are in the apartment, so you don't have to go very far to leave your items on your off track. This is the perfect place if you are looking for privacy and a social lifestyle all mixed into one!",788.8623934,832.4336259
BUNKHOUSE,"156 W 4th S Rexburg, ID
                                                        83440-2141",208-356-7419,1150,1150,Waiting List,Approved Men's Housing,324,195,150,6,bunkhouseapts.com,43.8184852,-111.7876616,"Bunkhouse Apartments provide a down-to-earth living environment that you'll love! Located across the street from the BYU-Idaho Center, surrounded by women's housing and next to some of Rexburg's best restaurants, you'll enjoy your choice of 3 floorplans, excellent wards and FREE LAUNDRY!!! Make sure to visit our website for details and sign a contract: www.bunkhouseapts.com",416.0873013,647.3942138
CAMDEN APARTMENTS - MEN,"225 W 5th S Rexburg, ID
                                                        83440",208-656-9611,1690,1690,Waiting List,Approved Men's Housing,24,65,150,1,www.camdenrexburg.com/,43.81539249,-111.7901078,"Camden Apartments is a PRIVATE ROOM complex, only ONE block away from campus! If you love having a spacious bedroom and closet, an apartment with two bathrooms, two fridges, and the privacy you need for your studies, then this is the place for you! The free Walmart Shuttle also picks up right outside. 

https://www.camdenrexburg.com 208-656-9611",700.1880934,707.7061713
CAMDEN APARTMENTS - WOMEN,225 W 5th S,208-656-9611,1890,1990,Waiting List,Approved Women's Housing,53,70,150,6,www.camdenapts.net,43.81539249,-111.7901078,"Camden Apartments is a PRIVATE ROOM complex, only ONE block away from campus! If you love having a spacious bedroom and closet, an apartment with two bathrooms, two fridges, and the privacy you need for your studies, then this is the place for you! The free Walmart Shuttle also picks up right outside.

Apply online today! https://www.camdenrexburg.com 208-656-9611",700.1880934,707.7061713
CARRIAGE HOUSE,"246 S 1st W, Rexburg, ID",208-356-4361,1345,1360,Full,Approved Women's Housing,234,90,85,1,www.rexburgstudenthousing.com/new/property/26,43.8207456,-111.7874953,"Each apt has 2 FRIDGES, a free WASHER/DRYER, and captains beds for extra storage. From our managers to our maintenance, we?ll strive to make your experience here fantastic! Enjoy living directly across the street from campus (only a 1-2 min walk). You?ll have a spacious lounge with a large TV, study tables, and a piano/music room. Outside there are shade trees and lots of grass!",,
CARRIAGE HOUSE TOWNHOUSE,"246 S 1st W Apt 114, Rexburg, ID",208-356-4361,1380,1380,Full,Approved Women's Housing,8,90,85,1,www.rexburgstudenthousing.com/new/property/27,43.8207848,-111.7867195,"This spacious townhouse has 4 bedrooms, study and storage rooms, 2 bathrooms, and 2 living rooms. It's directly across the street from campus! It comes with 2 fridges, an in-unit washer/dryer,  available parking at nearby lots, and The Carriage House lounge next door.",,
"CEDARS, THE - MEN","120 W 2nd S Rexburg, ID
                                                        83440",208-356-0222,1445,1745,Full,Approved Men's Housing,354,300,125,1,Cedarshousing.com,43.82246407,-111.7871144,"The Cedars is conveniently located kiddie-corner to campus. We offer both above and under-ground parking and discounts to nearby food and clothing shops. Our apartments are spacious, modern, and homey with plenty of storage space, two fridges and large televisions! Laundry is free with laundry facilities on each floor. Come experience a home away from home.",581.641886,962.2249771
"CEDARS, THE - WOMEN",155 W Main St,208-344-7006,1695,1895,Waiting List,Approved Women's Housing,444,230,125,1,Cedarshousing.com,43.82142293,-111.7872673,"Welcome to one of the best housing complexes in Rexburg! We are a complex with 74 apartments that have three bedroom shared units. In each unit there are 3 bathrooms, two fridges, and in apartment laundry. 
 Activities will always include young men from our neighboring Mens Cedars complex across the street! Come check out an exciting and fun complex!",507.4958362,869.4171172
CENTRE SQUARE - MEN,"650 S 1st W Rexburg, ID
                                                        83460",208-496-9220,1399,1499,Full,Approved Men's Housing,304,100,75,6,www.byui.edu/housing/centre-square,43.81262865,-111.7871064,"If you want to live in Zion, this is the place. We listened to your needs/wants and here they are. Extra storage, large kitchen & pantry, wonderful vanities, free use of washer & dryer in each apartment, study rooms, gathering rooms, music rooms, green space, etc. Come enjoy.",744.8904982,527.083911
CENTRE SQUARE - WOMEN,650 S 1st W,208-496-9220,1399,1499,Available,Approved Women's Housing,546,200,75,12,www.byui.edu/housing/centre-square,43.81176154,-111.787675,"If you want to live in Zion, this is the place. We listened to your needs/wants and here they are. Extra storage, large kitchen & pantry, wonderful vanities, free use washer & dryer in each apartment, study rooms, gathering rooms, music rooms, green space, etc. Come enjoy.",851.2558018,616.3151932
CHAPMAN HOUSE,"149 E 2nd S, Rexburg, ID",208-356-3001,1340,1770,Full,Approved Women's Housing,7,90,50,1,www.rexburgstudenthousing.com/new/property/23,43.822054,-111.778304,"Chapman House is a large house with 5 private bedrooms, 1 shared bedroom, 3 bathrooms, and a huge living room! The house has a free washer/dryer and tons of parking! The large floor plan and proximity to campus (one-block away) are amazing as well as the shared lounge (ping-pong, foosball, TV, study tables, piano).",643,965
CLARKE APARTMENTS,"156 S Center St Rexburg, ID
                                                        83440",(208) 356-6660,1075,1115,Full,Approved Men's Housing,42,36,100,6,www.clarkeapartments.com,43.82252986,-111.7841747,"AFFORDABLE, ABUNDANT LIVING AT CLARKE APARTMENTS! Clarke can be your next home just steps away from campus. Each apartment comes with a washer and dryer. We have several great amenities including a fire pit, basketball hoop, big projector movie screen outside, and a large grass area. Call us today at 208-356-6660 or apply online at clarkeapartments.com!",474.1995417,880.0282944
COLLEGE AVENUE APARTMENTS,148 College Avenue #B,208-351-8182,1150,1450,Full,Approved Women's Housing,8,8,100,3,NA,43.82300204,-111.7827103,"Plemty of parkimg,  Fabulous location across from campus.  Surrounded by byui play yards .  Great internet and free washer and dryer in the apartment. Plenty of hot water. Two full kitchens and two baths with vanity and sink area. Porch with picnic table. Great mattresses. 50 inch tv",507.1922554,909.1378708
COLONIAL HEIGHTS TOWNHOUSES,"251 E 4th S Rexburg, ID
                                                        83440-2543",208-356-6752,900,900,Full,Approved Men's Housing,64,40,100,1,WWW.COLONIALHEIGHTSTOWNHOUSES.COM,43.81789299,-111.7762595,"Spacious 3 level townhouse, includes 4 bedrooms, 2.5 bathrooms, living room, kitchen (with 2 refrigerators) and a front and back porch. Rent includes free High Speed Internet, electricity and free washer/dryer facilities in each apartment. 
PRIVATE BEDROOMS ARE AN ADDITIONAL $100.
Summer Session contracts are ONLY sold with a Fall Contract. 
We do not rent over the Christmas Break.",504.9196053,528.3375755
COLONIAL HOUSE - MEN,"151 W 4th S Rexburg, ID
                                                        83440-2450",208-359-2848,1535,1535,Waiting List,Approved Men's Housing,144,199,150,1,www.colonial-house.com,43.81713046,-111.7891958,"Located less than one block from the center of campus, The Colonial House is the perfect mixture of convenience and fun.  With amenities like in-apartment washer/dryer, large 4K TVs, spacious rooms, and a huge vanity, students love living at The Colonial House.  Not to mention our great price!  Add all that up and The Colonial House provides an amazing value for students!  www.colonial-house.com",558.7665755,679.6924511
COLONIAL HOUSE - WOMEN,151 W 4th S,208-356-2848,1535,1535,Waiting List,Approved Women's Housing,198,241,150,1,www.the-colonial-house.com/,43.81713046,-111.7891958,"Located less than one block from the center of campus, The Colonial House is the perfect mixture of convenience and fun.  With amenities like in-apartment washer/dryer, large 4K TVs, spacious rooms, and a huge vanity, students love living at The Colonial House.  Not to mention our great price!  Add all that up and The Colonial House provides an amazing value for students!  www.colonial-house.com",558.7665755,679.6924511
COTTONWOOD - MEN,"42 S 1st W Rexburg, ID
                                                        83440-1860",208-356-9576,1050,1050,Full,Approved Men's Housing,60,100,150,1,www.cottonwoodstudentapartments.com,43.82469723,-111.7871091,"Men's and Women's Housing. FREE Laundry!
Perfect for students of all ages with something for everyone.
Nice courtyard, lounge, game room, fruit trees, basketball court, volleyball net, fire pit, and a covered bike area!

Less than 2 blocks from campus and close to Broulims' groceries and downtown Rexburg. 
LOTS OF PARKING TOO!
Fall/Winter: $995
Spring: $895
Summer: $495",788.3066194,1185.413118
COTTONWOOD - WOMEN,42 S 1st W,208-356-9576,1050,1050,Full,Approved Women's Housing,84,100,150,1,www.cottonwoodstudentapartments.com,43.82469723,-111.7871091,"Men and Women's Housing. FREE Laundry!
Perfect for students of all ages with something for everyone.
Nice courtyard, lounge, game room, fruit trees, basketball court, volleyball net, fire pit, and a covered bike area!

Less than 2 blocks from campus and close to Broulims' groceries and downtown Rexburg. 
LOTS OF PARKING TOO!
Fall/Winter: $995
Spring: $895
Summer: $495",788.3066194,1185.413118
"COVE, THE - MEN","220 S 2nd W Rexburg, ID
                                                        83440",208-701-4212,1325,1525,NA,Approved Men's Housing,224,450,100,10,rexburgcove.com,43.82126811,-111.7907327,"The Cove is truly a one of a kind community. Each apartment has a unique layout with options for large bedrooms, private bathrooms, and large spacious living areas. We are one block from campus, right next to Porter Park, and within walking distance to the grocery store. You can also spend time on our upper deck in the hot tubs while watching a show on our 9'x13' TV!",733.7965781,1036.719862
"COVE, THE - WOMEN","220 S 2nd W Rexburg, ID
                                                        83440",208-701-4212,1375,1525,NA,Approved Women's Housing,223,100,450,10,rexburgcove.com,43.82126811,-111.7907327,"The Cove is truly a one of a kind community. Each apartment has a unique layout with options for large bedrooms, private bathrooms, and large spacious living areas. We are one block from campus, right next to Porter Park, and within walking distance to the grocery store. You can also spend time on our upper deck in the hot tubs while watching a show on our 9'x13' TV!",804,1448
CREEKSIDE COTTAGES - MEN,"276 steiner Ave Rexburg, ID
                                                        83440",(208) 270-3207,1400,1600,NA,Approved Men's Housing,10,10,100,3,creeksidemensbyui.blogspot.com,43.81998311,-111.7942867,"Large house with 2 spacious apartments. A 3 bedroom main level and a 3 bed basement apartment. Both are fully furnished. Both feature leather furniture, fiber-optics, 2 refrigerators, 55'smart TVs, free Netflix, free laundry and a garage for storage. Just 2 1/2 blocks from campus. Great Ward! Great location. RM & MULTI-CONTRACT DISCOUNTS! YEAR ROUND LIVING! Come check us out!",964.3996918,1185.911794
CREEKSIDE COTTAGES - WOMEN,276 Steiner Ave,208-270-3207,1400,1600,Full,Approved Women's Housing,24,28,100,6,creeksidewomenbyui.blogspot.com,43.81998311,-111.7942867,"Three beautiful, private, clean, peaceful BYUI Women's houses. Located 2½ blocks west of campus. Offering: free in apt washer/dryers, Roku, Wi-Fi, Netflix, 55"" TVs, all fully furnished. Rent includes a large garage for storage. Awesome Bishop and a great ward! RM & MULTI-CONTRACT DISCOUNTS! Year round living! Come check us out!",964.3996918,1185.911794
CRESTWOOD APARTMENTS,"235 S 1st E Rexburg, ID
                                                        83440-2260",208-274-3828,1049,1049,Full,Approved Men's Housing,50,30,75,3,crestwoodrexburg.managebuilding.com/Resident/public/home,43.82107459,-111.7804787,"Featuring reliable 1GB dedicated fiber optic internet; transmit and receive data without a dip; perfect for serious students with a need for dependable online connections, this is an unparalleled service for student housing in Rexburg. Crestwood is also an affordable, great place to live! with free onsite laundry facilities  Our tenants are awesome and our location can't be beat!",334.4693447,691.7520152
CRESTWOOD COTTAGE,221 S. 1st E,208-274-3828,1049,1049,Full,Approved Women's Housing,10,10,75,3,crestwoodrexburg.managebuilding.com/Resident/public/home,43.82124102,-111.7806664,"Crestwood is an affordable, great place to live! We offer free onsite laundry facilities and 1 gig dedicated fiber internet! Our tenants are awesome and our location can't be beat!",344.0626503,708.8391518
CRESTWOOD HOUSE,"235 S 1st E Rexburg, ID
                                                        83440-2260",208-274-3828,949,949,Full,Approved Men's Housing,11,10,75,3,crestwoodrexburg.managebuilding.com/Resident/public/home,43.82093912,-111.7805055,"Featuring reliable 1GB dedicated fiber optic internet; transmit and receive data without a dip; perfect for serious students with a need for dependable online connections. Per capita, this is an unparalleled service for student housing in Rexburg. Crestwood is also an affordable, great place to live! with free onsite laundry facilities  Our tenants are awesome and our location can't be beat!",320.2984987,676.5601522
DAVENPORT APARTMENTS,145 W 3rd S,208-356-3216,945,945,Full,Approved Women's Housing,71,31,100,3,davenportapartments.net,43.81930189,-111.7882195,"Davenport has an ideal price and an ideal location, we're 1/2 block from campus. We offer FREE LAUNDRY and recently upgraded Fiber Optic Internet.  We are well-known for our large living spaces, home-like atmosphere, fun and social wards and our WONDERFUL tenants! Discounts available for RM's.",470.7798338,740.0782129
DELTA PHI APARTMENTS,"139 Viking Dr Rexburg, ID
                                                        83440-2488",208-359-8015,1095,1195,Full,Approved Men's Housing,60,44,150,3,www.deltaphiapts.com,43.81708401,-111.7880532,"Steps away from campus, we are located next to the BYU-Idaho Center.  You will find our clean and well maintained apartments friendly and inviting with a relaxed atmosphere. Student- friendly fully furnished apartments with Optix high speed internet, on-site laundry, parking and a Gaming Lounge.  We pride ourselves in our affordable pricing and being recommended by previous tenants!",472.2445987,593.0246133
"GATES, THE - MEN","370 W 7th S Rexburg, ID
                                                        83440",208-356-6686,1670,1919,Waiting List,Approved Men's Housing,282,206,150,3,www.thegatesatrexburg.com,43.81406091,-111.7939299,"The Gates is a top-of-the-line affordable Townhome. Some of the largest rooms in Rexburg with personal closets and separate bathrooms for each bedroom. There are 2 fridges and washers and dryers in your apartment! Reserve our 12-couch theater room, work out in our weight room, or hang out in our new hot tub. You’ll save hundreds on laundry, utilities, and parking. Call today!",1041.072026,1017.009396
"GATES, THE - WOMEN",350 W Main St,208-356-6686,1740,1919,Full,Approved Women's Housing,300,224,150,3,www.thegatesatrexburg.com,43.81406091,-111.7939299,"The Gates is a top-of-the-line affordable Townhome. Recently built it features some of the largest rooms in Rexburg with personal closets and separate bathrooms for each bedroom. There are 2 fridges and free washers and dryers in your townhome! Reserve our 12 couch theater room or work out in our weight room. You’ll save hundreds on laundry, utilities and parking. Call today! We have a hot tub!!",1041.072026,1017.009396
GEORGETOWN APARTMENTS,"236 W 3rd S Rexburg, ID
                                                        83440-2131",(208) 359-3191,1099,1099,Full,Approved Men's Housing,72,51,150,1,rexburghousing.com/georgetown,43.82025017,-111.7905852,"This Men's complex is only a block from campus, Georgetown's great location is central to Rexburg's finest. You'll enjoy the grill, outdoor basketball hoop, and proximity to different shops, parks, and more. Living in a Rexburg Housing community means you'll also have free and open access to the amenities at 6 other properties such as pools, hot tubs, study centers, theater rooms, and more!",681.6015906,953.5421352
