Gender,Age,Height,Weight,Number_of_siblings,Dominant_hand,Education,Only_child,Fear_score,Religiosity_score,Smoking,Alcohol,I_live_a_healthy_lifestyle,I_like_music,Music_diversity_score,Punctuality,Lying,Happiness_score
female,19,175,65,2,right handed,college/bachelor degree,no,66,67,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,40,i am always on time,everytime it suits me,11
female,20,168,65,1,right handed,secondary school,no,80,60,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,49,i am often running late,everytime it suits me,6
male,18,181,78,2,right handed,secondary school,no,22,43,tried smoking,social drinker,Agree,Strongly Agree,71,i am often early,only to avoid hurting someone,9
male,18,188,90,1,left handed,secondary school,no,52,20,former smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,57,i am always on time,only to avoid hurting someone,12
male,20,186,77,1,right handed,secondary school,no,36,53,never smoked,never,Disagree,Strongly Agree,65,i am often early,only to avoid hurting someone,10
male,24,186,85,1,left handed,secondary school,no,20,43,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,46,i am often early,sometimes,12
female,22,167,70,1,right handed,college/bachelor degree,no,50,80,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,41,i am often early,sometimes,11
female,20,168,54,3,right handed,secondary school,no,62,53,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am often running late,sometimes,10
female,19,167,51,1,right handed,secondary school,no,68,63,tried smoking,never,Agree,Strongly Agree,49,i am often early,only to avoid hurting someone,9
female,20,170,56,1,right handed,secondary school,yes,56,40,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,38,i am always on time,sometimes,10
female,22,165,63,1,left handed,college/bachelor degree,no,30,83,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,63,i am often early,sometimes,11
female,19,163,50,1,right handed,secondary school,no,60,57,never smoked,social drinker,Agree,Agree,54,i am often early,sometimes,9
male,20,187,80,2,left handed,secondary school,yes,52,47,former smoker,social drinker,Strongly Agree,Strongly Agree,44,i am always on time,sometimes,15
female,19,168,60,2,right handed,secondary school,no,86,63,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,56,i am often running late,sometimes,12
male,25,183,87,1,right handed,secondary school,no,56,67,former smoker,drink a lot,Neither Agree nor Disagree,Agree,57,i am always on time,everytime it suits me,10
female,22,177,80,1,right handed,secondary school,no,40,63,tried smoking,social drinker,Neither Agree nor Disagree,Agree,44,i am always on time,sometimes,11
female,20,158,46,4,left handed,secondary school,no,82,43,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,53,i am always on time,only to avoid hurting someone,13
female,27,170,70,1,right handed,masters degree,no,62,47,tried smoking,social drinker,Agree,Strongly Agree,52,i am often early,sometimes,13
male,20,177,67,5,right handed,college/bachelor degree,no,36,77,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,53,i am often early,sometimes,11
female,19,170,72,1,right handed,secondary school,no,76,67,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am always on time,sometimes,13
female,18,173,65,1,right handed,secondary school,no,62,60,never smoked,social drinker,Disagree,Strongly Agree,37,i am often early,only to avoid hurting someone,11
male,21,185,101,1,right handed,secondary school,no,32,63,former smoker,social drinker,Agree,Strongly Agree,37,i am often early,sometimes,12
female,23,168,60,1,right handed,secondary school,no,52,63,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,58,i am often running late,only to avoid hurting someone,8
female,21,155,46,1,right handed,secondary school,no,72,50,never smoked,never,Neither Agree nor Disagree,Strongly Agree,50,i am often early,sometimes,12
female,26,172,62,1,right handed,secondary school,no,70,57,never smoked,social drinker,Agree,Agree,33,i am often early,only to avoid hurting someone,9
male,20,188,80,3,right handed,college/bachelor degree,no,24,40,tried smoking,social drinker,Agree,Strongly Agree,72,i am often running late,never,12
female,19,170,90,0,right handed,secondary school,yes,44,70,never smoked,never,Neither Agree nor Disagree,Strongly Agree,59,i am often early,sometimes,11
female,20,163,55,1,right handed,college/bachelor degree,no,66,47,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,45,i am always on time,only to avoid hurting someone,12
female,25,170,67,1,right handed,masters degree,no,76,83,current smoker,social drinker,Neither Agree nor Disagree,Agree,53,i am often early,only to avoid hurting someone,11
male,27,181,78,1,right handed,masters degree,no,74,67,never smoked,social drinker,Strongly Agree,Strongly Agree,58,i am often early,never,8
female,21,163,55,1,right handed,college/bachelor degree,no,24,73,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,63,i am always on time,sometimes,13
female,19,170,60,1,right handed,secondary school,yes,54,37,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,44,i am always on time,sometimes,12
female,20,171,70,1,right handed,secondary school,yes,50,53,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,45,i am often early,only to avoid hurting someone,13
female,20,157,41,1,right handed,primary school,no,66,40,tried smoking,social drinker,Disagree,Strongly Agree,46,i am often early,sometimes,9
female,19,175,60,2,right handed,college/bachelor degree,no,50,63,tried smoking,social drinker,Agree,Agree,64,i am often running late,only to avoid hurting someone,10
female,19,,75,1,right handed,secondary school,no,40,83,never smoked,never,Neither Agree nor Disagree,Strongly Agree,58,i am always on time,sometimes,12
female,21,160,58,2,right handed,secondary school,no,72,67,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,78,i am often early,sometimes,8
female,18,164,51,4,right handed,secondary school,no,48,73,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,61,i am always on time,only to avoid hurting someone,12
female,21,160,57,2,right handed,college/bachelor degree,no,70,60,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,74,i am always on time,sometimes,11
female,23,165,45,1,right handed,college/bachelor degree,no,78,53,current smoker,drink a lot,Agree,Strongly Agree,60,i am often early,sometimes,9
female,20,170,64,2,left handed,secondary school,,60,60,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,55,i am often running late,sometimes,10
female,21,157,45,1,right handed,secondary school,no,64,70,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,49,i am always on time,sometimes,8
male,19,185,71,1,right handed,secondary school,no,60,43,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,44,i am often running late,everytime it suits me,9
male,22,178,74,1,right handed,college/bachelor degree,no,50,33,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,56,i am often early,everytime it suits me,9
male,23,175,72,1,right handed,college/bachelor degree,no,44,60,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am always on time,sometimes,9
male,23,165,56,1,left handed,secondary school,no,54,50,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,54,i am always on time,only to avoid hurting someone,9
male,23,189,81,2,right handed,secondary school,no,98,47,never smoked,social drinker,Strongly Agree,Strongly Agree,81,i am always on time,only to avoid hurting someone,11
male,22,180,78,2,right handed,college/bachelor degree,no,52,50,tried smoking,social drinker,Agree,Strongly Agree,42,i am always on time,sometimes,11
female,18,180,52,0,right handed,primary school,yes,64,60,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,41,i am often running late,only to avoid hurting someone,11
male,17,185,84,1,left handed,primary school,yes,40,53,tried smoking,social drinker,Neither Agree nor Disagree,Agree,42,i am often early,everytime it suits me,9
male,20,183,83,1,right handed,secondary school,no,48,40,tried smoking,social drinker,Neither Agree nor Disagree,Agree,55,i am often early,sometimes,12
female,24,160,58,0,right handed,college/bachelor degree,yes,46,60,never smoked,never,Agree,Neutral,50,i am often early,only to avoid hurting someone,13
female,18,162,50,1,right handed,college/bachelor degree,no,66,83,tried smoking,drink a lot,Disagree,Strongly Agree,60,i am often early,sometimes,10
female,20,163,47,3,left handed,secondary school,no,58,67,tried smoking,social drinker,Disagree,Strongly Agree,36,i am often running late,everytime it suits me,12
male,17,185,82,1,right handed,secondary school,yes,56,53,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,45,i am always on time,never,13
male,20,175,83,1,left handed,secondary school,yes,56,57,tried smoking,never,Strongly Agree,Agree,40,i am often running late,sometimes,13
female,28,168,52,1,right handed,secondary school,no,70,67,former smoker,social drinker,Agree,Strongly Agree,53,i am always on time,everytime it suits me,10
male,21,177,80,1,right handed,secondary school,yes,66,80,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,44,i am always on time,everytime it suits me,11
male,22,190,80,1,right handed,masters degree,no,70,67,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,42,i am always on time,sometimes,8
male,20,192,77,1,right handed,secondary school,no,36,73,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,60,i am always on time,sometimes,10
male,18,188,75,1,right handed,secondary school,no,50,43,tried smoking,social drinker,Neither Agree nor Disagree,Agree,31,i am always on time,sometimes,12
female,21,175,60,1,right handed,secondary school,no,56,40,tried smoking,social drinker,Agree,Strongly Agree,50,i am often running late,sometimes,12
female,24,148,57,1,right handed,college/bachelor degree,no,50,53,never smoked,never,Agree,Agree,63,i am often running late,never,13
female,21,173,63,2,right handed,secondary school,no,70,47,former smoker,social drinker,Agree,Strongly Agree,65,i am often running late,sometimes,11
female,19,163,48,1,right handed,secondary school,no,54,60,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,57,i am often running late,sometimes,11
male,22,177,80,1,right handed,secondary school,no,30,50,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,60,i am often early,sometimes,13
female,18,163,47,1,right handed,secondary school,no,54,60,never smoked,social drinker,Agree,Strongly Agree,46,i am often running late,sometimes,8
female,22,163,53,2,right handed,secondary school,no,74,70,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,59,i am always on time,sometimes,10
female,19,168,48,0,right handed,secondary school,yes,34,70,former smoker,drink a lot,Strongly Agree,Strongly Agree,66,i am often running late,everytime it suits me,13
male,22,159,53,2,right handed,college/bachelor degree,no,64,60,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,52,i am often running late,sometimes,9
male,24,179,65,3,right handed,masters degree,no,64,77,current smoker,social drinker,Neither Agree nor Disagree,Agree,57,i am often running late,sometimes,10
female,18,159,50,3,right handed,college/bachelor degree,no,50,57,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,59,i am often early,sometimes,12
female,21,164,75,0,right handed,secondary school,yes,64,73,former smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,58,i am often early,never,6
female,22,156,50,2,right handed,masters degree,no,66,73,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,51,i am often early,only to avoid hurting someone,9
female,19,154,58,3,right handed,secondary school,no,60,73,tried smoking,social drinker,Neither Agree nor Disagree,Agree,39,i am often running late,sometimes,12
female,18,168,50,4,right handed,secondary school,no,64,57,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,49,i am often running late,sometimes,13
female,19,170,63,0,right handed,college/bachelor degree,yes,30,80,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am always on time,sometimes,10
male,24,175,80,2,right handed,masters degree,no,42,37,current smoker,drink a lot,Strongly Disagree,Strongly Agree,54,i am always on time,never,15
male,21,179,68,1,right handed,secondary school,no,32,43,tried smoking,social drinker,Disagree,Strongly Agree,46,i am often running late,sometimes,9
male,21,180,75,1,right handed,college/bachelor degree,no,58,53,tried smoking,drink a lot,Strongly Disagree,Strongly Agree,53,i am often running late,only to avoid hurting someone,11
male,19,182,81,1,right handed,college/bachelor degree,no,44,53,former smoker,drink a lot,Strongly Disagree,Strongly Agree,39,i am often early,sometimes,11
male,19,200,75,1,right handed,primary school,no,36,50,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,29,i am always on time,sometimes,9
male,22,187,70,1,right handed,secondary school,no,40,53,former smoker,drink a lot,Agree,Neutral,47,i am often running late,never,10
female,18,162,50,1,left handed,secondary school,no,52,60,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,39,i am always on time,only to avoid hurting someone,11
female,21,172,71,1,right handed,secondary school,no,68,77,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,59,i am always on time,only to avoid hurting someone,14
male,18,194,90,1,right handed,secondary school,no,52,63,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,46,i am often running late,sometimes,11
female,20,168,55,0,right handed,secondary school,yes,40,57,tried smoking,social drinker,Agree,Strongly Agree,58,i am often early,only to avoid hurting someone,9
male,22,185,80,0,right handed,secondary school,yes,40,60,tried smoking,drink a lot,Agree,Strongly Agree,58,i am often running late,sometimes,13
male,21,180,70,1,right handed,secondary school,no,24,47,tried smoking,drink a lot,Strongly Disagree,Agree,57,i am always on time,everytime it suits me,13
male,24,178,74,1,right handed,college/bachelor degree,no,36,67,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,39,i am always on time,sometimes,10
male,19,182,80,1,right handed,secondary school,no,38,70,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,68,i am often early,only to avoid hurting someone,11
female,18,178,55,1,right handed,secondary school,no,38,70,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,38,i am always on time,only to avoid hurting someone,13
female,17,168,61,1,right handed,primary school,no,58,43,never smoked,social drinker,Neither Agree nor Disagree,Agree,42,i am often early,sometimes,9
male,18,176,65,0,right handed,secondary school,yes,52,53,tried smoking,drink a lot,Disagree,Strongly Agree,50,i am often running late,everytime it suits me,9
male,21,185,70,1,right handed,college/bachelor degree,no,44,60,former smoker,drink a lot,Agree,Strongly Agree,56,i am always on time,sometimes,11
female,22,166,56,1,right handed,college/bachelor degree,no,68,70,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,60,i am often running late,everytime it suits me,6
female,20,163,54,1,left handed,secondary school,no,54,63,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,51,i am often early,sometimes,9
female,21,162,60,1,right handed,college/bachelor degree,no,34,47,former smoker,social drinker,Neither Agree nor Disagree,Neutral,41,i am always on time,only to avoid hurting someone,11
female,19,163,54,1,right handed,secondary school,no,60,30,former smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,44,i am often early,only to avoid hurting someone,12
female,17,175,62,0,right handed,secondary school,yes,72,53,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,60,i am often early,sometimes,9
female,21,169,61,1,right handed,college/bachelor degree,no,78,67,former smoker,social drinker,Disagree,Strongly Agree,40,i am often early,only to avoid hurting someone,5
female,18,165,55,3,right handed,secondary school,no,58,57,never smoked,never,Disagree,Strongly Agree,35,i am often early,sometimes,9
male,23,175,60,1,right handed,college/bachelor degree,no,30,43,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,48,i am often early,sometimes,11
female,16,161,54,1,right handed,secondary school,no,44,60,tried smoking,social drinker,Neither Agree nor Disagree,Agree,39,i am often early,only to avoid hurting someone,13
male,23,188,90,0,right handed,college/bachelor degree,yes,36,23,never smoked,drink a lot,Disagree,Strongly Agree,60,i am always on time,everytime it suits me,10
male,21,180,85,2,right handed,secondary school,no,38,50,current smoker,social drinker,Disagree,Agree,45,i am often running late,sometimes,12
female,23,156,56,0,right handed,masters degree,yes,48,80,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,54,i am always on time,sometimes,11
female,20,172,80,0,left handed,secondary school,yes,36,57,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,55,i am always on time,only to avoid hurting someone,8
male,20,176,69,4,right handed,secondary school,no,24,53,current smoker,social drinker,Agree,Agree,54,i am always on time,only to avoid hurting someone,10
female,20,157,54,1,right handed,secondary school,no,58,70,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,53,i am often running late,sometimes,12
female,20,163,56,2,right handed,secondary school,no,74,57,tried smoking,social drinker,Neither Agree nor Disagree,Neutral,40,i am often early,only to avoid hurting someone,9
female,19,177,64,1,right handed,primary school,no,42,63,tried smoking,social drinker,Strongly Disagree,Agree,60,i am often running late,everytime it suits me,9
female,15,173,49,3,left handed,primary school,no,48,67,never smoked,never,Strongly Agree,Strongly Agree,70,i am always on time,only to avoid hurting someone,13
female,20,178,75,1,right handed,secondary school,no,48,80,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,51,i am often early,sometimes,12
female,19,168,66,1,right handed,secondary school,no,62,50,,,Neither Agree nor Disagree,Agree,42,i am often early,sometimes,12
male,18,193,103,2,right handed,primary school,yes,48,47,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,37,i am often early,sometimes,12
female,15,170,51,1,right handed,primary school,no,52,47,tried smoking,never,Disagree,Strongly Agree,42,i am always on time,sometimes,8
female,20,170,50,2,right handed,college/bachelor degree,no,64,80,tried smoking,social drinker,Strongly Disagree,Strongly Agree,39,i am always on time,never,10
female,16,170,59,1,right handed,secondary school,yes,72,47,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,57,i am always on time,only to avoid hurting someone,3
male,18,185,62,1,right handed,secondary school,no,62,57,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,57,i am often early,sometimes,8
male,21,185,90,1,right handed,secondary school,no,46,80,never smoked,never,Neither Agree nor Disagree,Strongly Agree,40,i am often early,never,11
,,,,,right handed,primary school,yes,54,57,never smoked,never,Strongly Disagree,Strongly Agree,63,i am often early,sometimes,8
female,20,168,50,4,right handed,secondary school,no,34,60,never smoked,never,Strongly Disagree,Strongly Agree,47,i am always on time,sometimes,11
female,19,168,53,1,right handed,college/bachelor degree,no,80,63,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,56,i am often running late,sometimes,10
female,19,175,52,3,right handed,college/bachelor degree,no,58,87,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am always on time,sometimes,11
female,19,170,65,1,right handed,primary school,yes,52,43,current smoker,social drinker,Neither Agree nor Disagree,Neutral,52,i am often early,only to avoid hurting someone,10
male,,,,,left handed,primary school,no,70,57,never smoked,social drinker,Disagree,Strongly Agree,41,i am often running late,sometimes,9
female,20,168,62,1,right handed,secondary school,no,78,43,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,48,i am often early,everytime it suits me,10
male,21,180,66,1,right handed,secondary school,no,30,33,never smoked,social drinker,Strongly Agree,Strongly Agree,45,i am often early,sometimes,5
female,19,165,78,1,right handed,secondary school,no,68,60,current smoker,social drinker,Disagree,Strongly Disagree,37,i am often early,everytime it suits me,11
male,21,180,72,1,right handed,secondary school,no,34,53,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,44,i am always on time,sometimes,11
male,18,185,83,2,right handed,secondary school,no,42,57,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,50,i am often early,sometimes,10
male,20,165,55,3,right handed,secondary school,no,48,77,never smoked,social drinker,Neither Agree nor Disagree,Agree,58,i am often early,only to avoid hurting someone,10
male,19,184,85,5,right handed,college/bachelor degree,no,40,50,,never,Disagree,Disagree,34,i am always on time,sometimes,7
female,22,177,61,1,right handed,secondary school,no,46,50,tried smoking,never,Agree,Strongly Agree,53,i am always on time,sometimes,11
male,20,180,100,1,right handed,secondary school,no,56,47,tried smoking,never,Strongly Disagree,Strongly Agree,52,i am often early,everytime it suits me,11
male,25,170,72,2,right handed,college/bachelor degree,no,60,83,tried smoking,drink a lot,Neither Agree nor Disagree,Strongly Agree,52,i am often running late,sometimes,14
female,21,170,52,0,right handed,college/bachelor degree,yes,68,53,tried smoking,social drinker,Neither Agree nor Disagree,Disagree,49,i am often early,everytime it suits me,7
male,24,185,81,1,right handed,college/bachelor degree,no,46,40,former smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,49,i am often running late,only to avoid hurting someone,11
female,19,171,72,1,right handed,secondary school,no,46,60,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,55,i am always on time,everytime it suits me,6
male,25,177,97,1,left handed,doctorate degree,yes,38,63,never smoked,drink a lot,Neither Agree nor Disagree,Strongly Agree,55,i am always on time,everytime it suits me,8
male,26,175,60,2,right handed,masters degree,no,38,60,former smoker,social drinker,Disagree,Strongly Agree,50,i am always on time,sometimes,11
female,15,160,48,2,right handed,currently a primary school pupil,no,60,60,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,55,i am often running late,sometimes,11
male,20,190,70,1,right handed,secondary school,no,50,70,tried smoking,social drinker,Disagree,Strongly Agree,64,i am always on time,sometimes,9
male,19,194,79,1,right handed,secondary school,no,24,47,tried smoking,social drinker,Strongly Disagree,Strongly Agree,53,i am always on time,sometimes,8
female,20,172,73,2,left handed,secondary school,yes,40,50,current smoker,social drinker,Agree,Strongly Agree,49,i am often early,everytime it suits me,7
male,21,190,89,0,left handed,college/bachelor degree,yes,42,67,tried smoking,social drinker,Agree,Agree,54,i am often early,sometimes,10
male,22,184,71,1,right handed,secondary school,no,60,73,current smoker,social drinker,Agree,Strongly Agree,37,i am always on time,sometimes,7
male,20,188,,1,right handed,secondary school,no,46,47,current smoker,social drinker,Agree,Strongly Agree,48,i am always on time,everytime it suits me,10
female,20,168,60,1,right handed,college/bachelor degree,yes,72,70,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,48,i am often running late,everytime it suits me,10
female,21,161,65,1,right handed,secondary school,no,36,37,former smoker,drink a lot,Agree,Strongly Agree,38,i am always on time,sometimes,10
male,21,183,98,1,right handed,primary school,no,72,40,current smoker,drink a lot,Neither Agree nor Disagree,Neutral,51,i am always on time,sometimes,4
female,20,180,71,0,right handed,secondary school,yes,24,43,tried smoking,social drinker,Strongly Disagree,Strongly Agree,48,i am always on time,everytime it suits me,6
female,19,157,57,2,right handed,secondary school,yes,38,40,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,46,i am often running late,sometimes,8
male,19,176,64,1,right handed,secondary school,no,62,50,never smoked,drink a lot,Agree,Agree,49,i am often running late,sometimes,11
male,20,180,72,0,right handed,secondary school,yes,24,47,tried smoking,social drinker,Disagree,Strongly Agree,45,i am always on time,everytime it suits me,6
male,22,191,85,1,right handed,secondary school,no,50,43,tried smoking,social drinker,Agree,Strongly Agree,60,i am often early,sometimes,8
male,21,187,75,1,right handed,secondary school,no,46,47,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,43,i am often early,never,11
male,26,183,78,0,right handed,secondary school,yes,82,97,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,35,i am always on time,sometimes,9
female,17,163,61,2,right handed,primary school,yes,52,30,never smoked,never,Strongly Disagree,Strongly Agree,53,i am often early,sometimes,8
male,22,178,80,2,right handed,college/bachelor degree,yes,26,30,former smoker,social drinker,Agree,Strongly Agree,47,i am always on time,only to avoid hurting someone,12
male,26,169,70,2,right handed,masters degree,no,42,53,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,52,i am often early,sometimes,9
female,20,160,50,1,right handed,masters degree,no,50,47,tried smoking,social drinker,Disagree,Agree,49,i am often running late,sometimes,8
male,22,182,75,1,right handed,secondary school,no,54,53,tried smoking,never,Neither Agree nor Disagree,Agree,38,i am always on time,sometimes,12
male,21,175,60,0,right handed,secondary school,yes,20,20,current smoker,social drinker,Strongly Disagree,Agree,46,i am often running late,everytime it suits me,10
male,23,180,80,0,right handed,secondary school,yes,32,60,never smoked,social drinker,Disagree,Strongly Agree,63,i am always on time,sometimes,12
female,19,158,47,0,right handed,secondary school,yes,50,63,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,60,i am often early,sometimes,11
male,20,180,70,1,right handed,college/bachelor degree,no,34,50,tried smoking,drink a lot,Strongly Agree,Strongly Agree,55,i am often early,sometimes,13
female,21,174,85,0,right handed,college/bachelor degree,yes,66,40,former smoker,drink a lot,Agree,Strongly Agree,47,i am always on time,everytime it suits me,5
female,19,167,55,2,right handed,secondary school,no,56,73,never smoked,never,Neither Agree nor Disagree,Neutral,46,i am always on time,never,12
female,29,169,65,2,right handed,masters degree,no,72,53,tried smoking,social drinker,Agree,Agree,42,i am always on time,sometimes,10
female,22,183,80,1,right handed,college/bachelor degree,no,32,33,never smoked,social drinker,Strongly Disagree,Strongly Agree,39,i am often early,sometimes,3
female,19,170,55,2,left handed,college/bachelor degree,no,64,67,never smoked,social drinker,Neither Agree nor Disagree,Neutral,46,i am often early,everytime it suits me,11
female,17,166,54,1,right handed,primary school,no,46,47,never smoked,social drinker,Neither Agree nor Disagree,Strongly Agree,45,i am often early,sometimes,10
female,16,158,48,1,left handed,primary school,no,48,30,never smoked,social drinker,Agree,Agree,50,i am always on time,sometimes,9
female,29,160,67,2,right handed,masters degree,no,50,43,former smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,53,i am often early,everytime it suits me,12
female,18,158,65,2,right handed,secondary school,no,42,60,current smoker,social drinker,Neither Agree nor Disagree,Strongly Agree,48,i am often running late,sometimes,8
male,26,169,70,2,right handed,masters degree,no,44,63,tried smoking,never,Neither Agree nor Disagree,Strongly Agree,56,i am often early,only to avoid hurting someone,9
male,19,183,78,1,right handed,secondary school,no,44,50,current smoker,drink a lot,Neither Agree nor Disagree,Strongly Agree,44,i am often early,only to avoid hurting someone,11
male,19,185,70,1,right handed,secondary school,yes,64,50,current smoker,never,Disagree,Strongly Agree,43,i am always on time,only to avoid hurting someone,12
female,20,169,64,0,right handed,secondary school,yes,62,47,tried smoking,social drinker,Neither Agree nor Disagree,Strongly Agree,54,i am often early,sometimes,12
