Class,Gender,Hand,Roll,Flip,Nose,Penny,Rank,Credits,Height,Fear,Skill,State,Wage,Age,Date,Random,Heart
900,M,R,Y,N,N,N,JR,77,70,4,4,NM,10,40,N,16,71
900,M,R,Y,Y,N,N,FR,17,75,5,6,OR,10.7,38,Y,13,72
900,M,R,Y,Y,Y,Y,SR,112,69,2,6,GERMANY,8.13,39,N,17,67
900,M,R,Y,Y,N,N,SO,62,74,3,4,AZ,8.75,37,Y,17,57
900,M,R,Y,Y,Y,Y,JR,60,74,4,3,ID,8.5,43,N,9,94
900,M,R,Y,Y,N,Y,SR,112,75,4,4,WA,12,37,Y,12,71
900,M,R,Y,Y,N,Y,SO,50,70,1,1,ID,8.8,43,N,18,70
900,M,R,Y,Y,N,Y,JR,100,69,3,5,WA,9.04,42,Y,17,59
900,M,R,N,N,N,N,JR,75,69,1,6,WA,,48,Y,3,60
900,M,R,Y,N,N,Y,SR,126,70,4,4,MO,7.65,36,N,13,59
900,M,R,Y,Y,N,N,SO,36,66,4,4,UT,9,37,N,11,52
900,M,R,Y,Y,N,Y,JR,61,72,2,5,ID,15.91,37,N,12,66
900,M,R,Y,N,N,N,JR,78,71,4,5,ID,15,41,N,14,60
900,M,R,Y,Y,N,N,JR,75,75,7,1,ID,,43,N,12,60
900,M,R,Y,Y,N,N,JR,63,68,3,7,ID,10,30,Y,8,100
900,M,R,Y,Y,N,N,SO,29,75,4,4,ID,8.5,36,N,4,60
900,M,R,Y,Y,N,Y,SO,45,72,4,4,ID,12,43,N,7,64
900,M,R,Y,N,Y,N,JR,70,72,4,3,ID,,49,N,2,
900,M,R,Y,Y,N,N,SO,72,73,4,6,UT,11.3,20,Y,14,86
900,M,R,Y,Y,N,Y,SO,50,73,3,6,ID,8,45,N,5,70
900,M,R,Y,Y,N,N,SO,44,76,3,2,ID,8.25,34,N,6,60
900,M,R,Y,Y,N,Y,SO,,74,2,5,ID,12,41,,13,82
900,M,R,Y,N,Y,N,SO,68,71,3,6,ID,9,42,Y,7,67
1015,M,R,Y,Y,Y,Y,SR,203,70,5,5,OR,100,41,N,14,81
1015,M,R,N,N,N,Y,SO,55,69,5,6,CHINA,8.1,39,Y,15,68
1015,M,R,Y,Y,N,Y,SR,120,68,2,6,OH,8,37,Y,7,48
1015,M,R,N,N,N,Y,SR,114,72,4,3,NC,10,42,N,13,102
1015,M,R,Y,Y,N,Y,JR,95,72,1,5,MI,12.8,43,Y,12,67
1015,M,R,N,N,N,Y,SR,120,76,4,5,WA,12.3,42,N,15,80
1245,M,R,Y,Y,N,Y,JR,,70,4,5,WA,10,43,N,14,84
1245,M,L,N,N,N,Y,SO,45,69,5,3,NV,25,36,N,2,64
1245,M,R,Y,Y,Y,Y,SR,181,73,2,4,WA,8.35,43,N,19,83
1245,M,R,Y,Y,Y,N,SO,50,71,3,5,ID,9.5,42,N,16,55
1245,M,L,Y,Y,N,Y,JR,56,71,6,3,NV,8.3,47,N,19,70
1245,M,R,Y,Y,N,Y,JR,90,74,3,4,CA,8.5,40,N,2,75
1245,M,R,Y,Y,N,Y,SR,92,71,2,6,UT,8.1,40,Y,7,66
1245,M,R,Y,N,Y,N,JR,60,77,2,2,ID,12,39,N,13,85
1245,M,R,Y,Y,N,N,JR,82,64,4,4,OR,10.41,44,Y,15,85
1245,M,R,Y,Y,N,Y,SR,100,67,1,4,NJ,13,41,Y,14,64
1245,M,R,Y,Y,N,N,JR,63,71,5,2,OR,15,33,Y,14,84
1245,M,R,Y,N,N,Y,JR,68,74,2,6,HI,10.5,45,N,17,83
1245,M,R,Y,Y,N,Y,SO,50,74,3,5,OK,7.85,45,Y,3,50
1245,M,R,N,N,N,N,JR,80,70,1,3,MT,17,37,N,5,
1245,M,L,Y,Y,Y,N,JR,70,73,2,5,CA,8.1,42,N,4,97
1245,M,L,Y,Y,N,Y,SR,100,68,4,5,NH,8.5,34,N,19,70
1245,M,R,Y,Y,N,Y,FR,28,73,3,4,WA,15,34,Y,16,64
1245,M,R,Y,N,N,Y,,24,76,5,7,ID,10,34,N,13,56
1245,M,R,Y,Y,N,N,SR,99,71,5,6,AZ,8,58,N,18,72
1245,M,R,Y,N,N,N,SO,60,68,3,3,FL,8.4,45,N,15,65
1245,M,R,N,N,N,Y,FR,29,71,3,5,OR,15,40,Y,13,81
1245,M,R,N,N,Y,N,SR,110,73,4,6,WA,8.45,36,Y,7,86
315,M,L,Y,Y,N,Y,SO,40,63,3,5,MI,8,41,Y,18,60
315,M,R,N,N,N,N,SO,30,67,4,4,FL,8.15,35,Y,19,60
315,M,R,Y,Y,N,N,SO,48,68,5,2,MO,8.1,37,Y,2,
315,M,R,Y,Y,N,Y,SO,48,73,5,5,DE,8.1,36,Y,13,105
315,M,L,Y,Y,Y,N,SO,20,70,5,3,CA,30,41,N,15,57
315,M,R,N,Y,Y,Y,SO,35,72,7,3,ID,9,39,Y,17,
315,M,R,N,N,N,N,JR,,73,4,5,WY,15,43,N,10,84
315,M,R,N,N,N,Y,JR,82,70,4,5,ID,10,48,N,2,
315,M,R,Y,Y,N,Y,SO,24,72,4,5,CA,8.2,39,Y,15,88
315,M,R,Y,Y,N,N,SO,36,73,5,4,ID,10,45,N,18,110
315,M,R,N,N,N,Y,JR,80,69,3,5,CA,10,45,N,7,80
315,M,R,Y,N,N,N,FR,14,70,3,1,MT,12.5,37,Y,20,84
315,M,R,Y,Y,N,N,FR,,69,5,3,UT,11.5,46,Y,18,76
315,M,R,Y,Y,Y,Y,FR,15,70,3,7,IL,1,39,N,10,40
315,M,R,Y,Y,N,N,SO,30,70,3,5,ID,13,53,N,3,56
315,M,R,Y,Y,N,Y,SO,38,69,4,1,JAPAN,8.1,38,N,16,70
315,M,L,Y,N,Y,N,SR,102,78,7,3,UT,15,60,Y,15,100
315,M,R,Y,N,N,Y,SR,110,74,3,3,ID,9,43,N,17,80
315,M,R,Y,N,N,N,SO,32,69,3,6,TX,25,47,Y,8,68
315,M,R,Y,Y,N,N,SO,46,73,4,5,OR,18,40,N,7,65
315,M,L,Y,Y,Y,Y,SO,30,71,4,5,CA,10,46,Y,19,51
500,M,L,Y,Y,Y,Y,JR,78,73,4,5,ID,13,41,Y,7,60
500,M,R,Y,N,N,N,SO,30,75,1,6,ID,11.67,43,Y,17,80
500,M,R,Y,Y,N,Y,SO,30,67,3,5,WA,12,38,N,12,65
500,M,L,Y,Y,N,Y,,52,71,3,4,CA,8.1,38,Y,2,48
500,M,L,N,N,N,Y,SO,54,72,3,5,OR,15,40,N,17,70
500,M,R,Y,Y,N,Y,SR,90,71,4,4,WA,10.45,36,Y,17,36
500,M,R,Y,Y,N,N,SR,120,73,4,4,ID,8,44,N,4,62
500,M,R,N,N,N,N,SR,115,67,2,4,CA,8.75,42,Y,2,80
500,M,R,Y,Y,N,N,SO,45,72,3,5,OR,8,43,Y,18,59
500,M,R,Y,Y,Y,N,SR,122,69,3,6,ID,9,40,N,12,57
500,M,R,Y,Y,N,N,SO,29,70,3,2,UT,10,47,N,7,44
500,M,R,Y,N,Y,Y,SR,96,70,4,3,WA,8.5,45,N,13,86
500,M,R,Y,Y,Y,N,SO,53,,5,3,UT,12,45,N,18,88
500,M,R,Y,Y,N,Y,SO,54,69,5,6,AZ,8.7,35,N,2,93
500,M,L,Y,Y,N,Y,SR,126,68,6,3,NV,10,51,Y,7,56
