"Name","Gender","Address","Phone","AvgFloorPlanCost","MaxFloorPlanCost","Residents","ParkingSpaces","Deposit","FloorPlanNumber","WebAddress","Latitude","Longitude","PublicDescription","CrowFlyMetersToMC","CrowFlyMetersToRicks"
"BIRCH PLAZA - WOMEN","F","236 S 1ST W","(208) 359-8200",1352.5,1505,173,100,150,3,"www.rexburghousing.com/birch-plaza",43.82093525,-111.78819,"Some girls choose to spend all of their BYU-Idaho years living at Birch Plaza. That's how good it is. The wards are outstanding, and there's a sense of community that you'll find almost nowhere else. Birch Plaza has a hot tub, an exercise room, and a spacious lounge. It's also right across the street from the BYU Idaho stadium! You'll love it here.",535.853813010691,869.682528230362
"BIRCH WOOD I","F","253 S 2ND W","(208) 359-8200",1370,1505,65,20,150,3,"www.rexburghousing.com/birch-plaza",43.8203779,-111.7891556,"Birch Plaza Premium is a very special place. The ward is outstanding, as are the residents. There's a hot tub and ample parking. A city park is one block away, and BYUI campus is half a block in the other direction. We've got girls from across the country and around the globe, including many returned missionaries. You'll love Birch Plaza Premium!",577.855024805305,876.649964289811
"BIRCH WOOD II","F","253 S 2ND W","(208) 359-8200",1425,1545,24,20,150,3,"www.rexburghousing.com/birch-plaza",43.8203779,-111.7891556,"Extra large PRIVATE rooms, with some shared rooms as well. Washer and dryer inside your apartment! Across the street from campus. With the BEST student ward! Hurry and sign up, because these very limited spots always fill up early. You're going to LOVE Birchwood II!",577.855024805305,876.649964289811
"BLUE DOOR, THE - MEN","M","123 PRINCETON CT","(208) 356-3001",1025,1025,24,25,80,2,"www.rexburgstudenthousing.com/new/property/1",43.82347422,-111.7792019,"At Blue Door, you’ll have two fridges, an in-unit washer/dryer, and a TV! There is an impressive open space with volleyball courts, a fire pit, and a basketball court. The social atmosphere is amazing! The lounge has ping pong, foosball, a piano, and a large TV for movie nights.",618.738598100049,970.261374130021
"BLUE DOOR, THE - WOMEN","F","123 PRINCETON CT","(208) 356-3001",997.5,1075,24,25,80,3,"www.rexburgstudenthousing.com/new/property/1",43.82347422,-111.7792019,"At Blue Door, you’ll have two fridges, an in-unit washer/dryer, and a TV! There is an impressive open space with volleyball courts, a fire pit, and a basketball court. The social atmosphere is amazing! The lounge has ping pong, foosball, a piano, and a large TV for movie nights.",618.738598100049,970.261374130021
"BOUNTIFUL PLACE","M","345 W 5TH S","(208) 351-7080",1099,1099,130,85,75,5,"www.bountifulplace.com",43.81474992,-111.793769,"Make Bountiful Place your home for just $1099. Large bedrooms, newer construction, high ceilings, modern furnishings, a piano in the lounge, and study rooms on site make this complex an amazing deal. Bountiful offers AC, 50"" flat-screen TV with Roku, free laundry, a fire pit, 2 fridges, large bedrooms, and waffles every Wednesday! Call/text us today at 208-351-7080!",995.753434232336,1000.08261940615
"BRIARWOOD APARTMENTS","M","163 E 2ND S","208-356-3001",1057.5,1120,24,50,80,3,"www.rexburgstudenthousing.com/new/property/3",43.82235957,-111.778923,"Briarwood is a small, tight-knit community of four apartments that shares a lounge with neighboring Greenbrier (men and women housing). The lounge has ping-pong, foosball, a piano, study tables, and a TV for movie nights! Each unit has a free washer and dryer, dishwasher, spacious bedrooms, a huge bathroom, two standing showers, and a two-sink vanity. There is tons of parking at Briarwood.",521.539346190561,853.490665619805
"BRIGHTON APARTMENTS - MEN","M","242 W 6TH S","208-356-9693",1325,1375,108,165,150,10,"www.brightonhousing.net",43.8129693,-111.7904967,"You’ll easily find your home away from home at Brighton! Four different floor plans with private rooms and shared rooms available. Laundry in each apartment/townhouse, TV's, reliable internet. Quiet, fun and friendly atmosphere. Laundry, free parking with 165 spaces, A/C, and all utilities included! 
Our office is located in the clubhouse. Open M-F 9-5, (208)356-9693",885.67983495555,766.69348622103
"BRIGHTON APARTMENTS - WOMEN","F","225 W 6th S #9","208-356-9693",1400,1425,60,165,150,3,"www.brightonhousing.net",43.8129693,-111.7904967,"Come see our girls townhomes! Built the summer of 2012 and 2016. Only 4 girls to a townhome! 2 Large and roomy bedrooms upstairs. Washer and dryer in each townhome. Club house with a pool table, ping pong, air hockey table, kitchen, fireplace & large flat screen. 

NO hidden fees! FREE parking, laundry, Optix internet and utilities! Office is in the clubhouse. Open M-F (208) 356-9693",885.67983495555,766.69348622103
"BROOKLYN APARTMENTS","F","345 S 2ND W","208-356-9500",995,995,144,45,150,3,"craiglandhousing.com/new/property/1",43.81866711,-111.7890135,"Brooklyn Apartments is a wonderful place to live, study, meet new friends and grow. Living here makes socializing, getting to class and shopping easier as we are located in the heart of Rexburg and only one block from campus. Our new furniture and carpet offers quality and comfortable living at a great low price. Come by and check us out!",525.423303021006,747.115309486096
"BROOKSIDE VILLAGE - MEN","M","487 S 3RD W","(208) 356-0788",1650,1650,60,98,150,1,"www.rexburghousing.com/brookside-village",43.81582215,-111.7916045,"Brookside Village is a unique community of private bedroom town homes. We offer a large party kitchen and dining area.  The bedrooms have built in dresser and shelves in the closet. Storage rooms are in the apartment, so you don't have to go very far to leave your items on your off track. This is the perfect place if you are looking for privacy and a social lifestyle all mixed into one!",788.862393385202,832.433625873093
"BROOKSIDE VILLAGE - WOMEN","F","487 S 3RD W","(208) 356-0788",1650,1650,86,96,150,5,"www.rexburghousing.com/brookside-village",43.81582215,-111.7916045,"Brookside Village is a unique community of private bedroom town homes. We offer a large party kitchen and dining area.  The bedrooms have built in dresser and shelves in the closet. Storage rooms are in the apartment, so you don't have to go very far to leave your items on your off track. This is the perfect place if you are looking for privacy and a social lifestyle all mixed into one!",788.862393385202,832.433625873093
"BUENA VISTA","F","406 S 3RD E","208-359-9681",900,900,21,7,50,6,"buenavistaapartments.blogspot.com/p/home.html",43.8174285,-111.7754656,"Buena Vista is perfect for the dedicated student. We're a friendly house located in a quiet neighborhood just two blocks from campus and a ten minute walk from the temple. There is a piano in every apartment and we also have an apartment garden.
Returning resident discounts!

Prices:

Fall: $925
Winter: $900
Spring: $850
Summer: $325",576.187247268527,550.949555324834
"BUNKHOUSE","M","156 W 4TH S","208-356-7419",995,995,324,195,150,6,"bunkhouseapts.com",43.8184852,-111.7876616,"Bunkhouse Apartments provide a down-to-earth living environment that you'll love! Located across the street from the BYU-Idaho Center, surrounded by women's housing and next to some of Rexburg's best restaurants, you'll enjoy your choice of 3 floorplans, excellent wards and FREE LAUNDRY!!! Make sure to visit our website for details and sign a contract: www.bunkhouseapts.com",416.087301304241,647.394213821256
"CAMDEN APARTMENTS - MEN","M","225 W 5TH S","208-656-9611",1575,1575,24,65,150,1,"www.camdenrexburg.com/",43.81539249,-111.7901078,"Camden Apartments is a PRIVATE ROOM complex, only ONE block away from campus! If you love having a spacious bedroom and closet, an apartment with two bathrooms, two fridges, and the privacy you need for your studies, then this is the place for you! The free Walmart Shuttle also picks up right outside. 

https://www.camdenrexburg.com 208-656-9611",700.188093407084,707.706171298213
"CAMDEN APARTMENTS - WOMEN","F","225 W 5TH S","208-656-9611",1616.67,1650,53,70,150,6,"www.camdenapts.net",43.81539249,-111.7901078,"Camden Apartments is a PRIVATE ROOM complex, only ONE block away from campus! If you love having a spacious bedroom and closet, an apartment with two bathrooms, two fridges, and the privacy you need for your studies, then this is the place for you! The free Walmart Shuttle also picks up right outside.

Apply online today! https://www.camdenrexburg.com 208-656-9611",700.188093407084,707.706171298213
"CARRIAGE HOUSE","F","246 S 1ST W","208-356-4361",1256.67,1260,234,85,80,5,"www.rexburgstudenthousing.com/new/property/10",43.8207456,-111.7874953,"Each apt has 2 FRIDGES, a free WASHER/DRYER, and captains beds for extra storage. From our managers to our maintenance, we’ll strive to make your experience here fantastic! Enjoy living directly across the street from campus (only a 1-2 min walk). You’ll have a spacious lounge with a large TV, study tables, and a piano/music room. Outside there are shade trees lots of grass!",477.250211826919,818.512176268549
"CARRIAGE HOUSE TOWNHOUSE","F","246 S 1 W APT 114","208-356-4361",1285,1285,8,85,80,1,"www.rexburgstudenthousing.com/new/property/11",43.8207848,-111.7867195,"This spacious townhouse has 4 bedrooms, study and storage rooms, 2 bathrooms, and 2 living rooms. It's directly across the street from campus! It comes with 2 fridges, an in-unit washer/dryer,  available parking at nearby lots, and The Carriage House lounge next door.",428.544438868439,785.963467880476
"CEDARS, THE - MEN","M","120 W 2ND S","208-356-0222",1595,1595,354,300,125,1,"Cedarshousing.com",43.82246407,-111.7871144,"The Cedars is conveniently located kiddie-corner to campus. We offer both above and under-ground parking and discounts to nearby food and clothing shops. Our apartments are spacious, modern, and homey with plenty of storage space, two fridges and large televisions! Laundry is free with laundry facilities on each floor. Come experience a home away from home.",581.641885971619,962.224977082974
"CEDARS, THE - WOMEN","F","155 W 2nd S","208-346-7006",1695,1695,444,230,125,1,"Cedarshousing.com",43.82142293,-111.7872673,"Welcome to one of the best housing complexes in Rexburg! We are a complex with 74 apartments that have three bedroom shared units. In each unit there are 3 bathrooms, two fridges, and in apartment laundry. 
 Activities will always include young men from our neighboring Mens Cedars complex across the street! Come check out an exciting and fun complex!",507.495836221702,869.417117197419
"CENTRE SQUARE - MEN","M","650 S 1ST W","208-496-9220",1449,1499,304,100,75,6,"www.byui.edu/housing/centre-square",43.81262865,-111.7871064,"If you want to live in Zion, this is the place. We listened to your needs/wants and here they are. Extra storage, large kitchen & pantry, wonderful vanities, free use of washer & dryer in each apartment, study rooms, gathering rooms, music rooms, green space, etc. Come enjoy.",744.890498245162,527.083911045759
"CENTRE SQUARE - WOMEN","F","650 S 1ST W","208-496-9220",1449,1499,546,200,75,12,"www.byui.edu/housing/centre-square",43.81176154,-111.787675,"If you want to live in Zion, this is the place. We listened to your needs/wants and here they are. Extra storage, large kitchen & pantry, wonderful vanities, free use washer & dryer in each apartment, study rooms, gathering rooms, music rooms, green space, etc. Come enjoy.",851.255801756818,616.315193161396
"CHAPMAN HOUSE","F","179 E 2ND S","208-356-3001",1435,1625,7,50,80,3,"www.rexburgstudenthousing.com/new/property/7",43.822054,-111.778304,"Converting to women's housing Spring 2022! Chapman House is a large house with 5 private bedrooms, 1 shared bedroom, 3 bathrooms, and a huge living room! The house has a free washer/dryer and tons of parking! The large floor plan and proximity to campus (one-block away) are amazing as well as the shared lounge (ping-pong, foosball, TV, study tables, piano).",524.064845736675,833.67573602705
"CLARKE APARTMENTS","M","156 S CENTER ST","(208) 356-6660",1025,1025,42,36,100,6,"www.clarkeapartments.com",43.82252986,-111.7841747,"AFFORDABLE, ABUNDANT LIVING AT CLARKE APARTMENTS! Clarke can be your next home just steps away from campus. Each apartment comes with a washer and dryer. We have several great amenities including a fire pit, basketball hoop, big projector movie screen outside, and a large grass area. Call us today at 208-356-6660 or apply online at clarkeapartments.com!",474.199541680674,880.028294448539
"COLLEGE AVENUE APARTMENTS","F","150 COLLEGE AVE","208-313-8182",1200,1350,8,8,100,3,"",43.82300204,-111.7827103,"Plemty of parkimg,  Fabulous location across from campus.  Surrounded by byui play yards .  Great internet and free washer and dryer in the apartment. Plenty of hot water. Two full kitchens and two baths with vanity and sink area. Porch with picnic table. Great mattresses. 50 inch tv",507.192255414825,909.137870835277
"COLONIAL HEIGHTS TOWNHOUSES","M","251 E 4TH S","208-356-6752",900,900,64,40,100,1,"WWW.COLONIALHEIGHTSTOWNHOUSES.COM",43.81789299,-111.7762595,"Spacious 3 level townhouse, includes 4 bedrooms, 2.5 bathrooms, living room, kitchen (with 2 refrigerators) and a front and back porch. Rent includes free High Speed Internet, electricity and free washer/dryer facilities in each apartment. 
PRIVATE BEDROOMS ARE AN ADDITIONAL $100.
Summer Session contracts are ONLY sold with a Fall Contract. 
We do not rent over the Christmas Break.",504.919605296119,528.337575507706
"COLONIAL HOUSE - MEN","M","151 W 4TH S","208-359-2848",1405,1405,144,199,150,1,"www.colonial-house.com",43.81713046,-111.7891958,"Located less than one block from the center of campus, The Colonial House is the perfect mixture of convenience and fun.  With amenities like in-apartment washer/dryer, large 4K TVs, spacious rooms, and a huge vanity, students love living at The Colonial House.  Not to mention our great price!  Add all that up and The Colonial House provides an amazing value for students!  www.colonial-house.com",558.766575457424,679.692451120062
"COLONIAL HOUSE - WOMEN","F","151 W 4TH S","208-359-2848",1415,1415,192,199,150,1,"https://www.the-colonial-house.com/",43.81713046,-111.7891958,"Located less than one block from campus, The Colonial House is the perfect mixture of convenience and fun.  With amenities like in-unit washer/dryer, large 4K TVs, spacious room, and a huge bathroom vanity, students love living at The Colonial House. Not to mention our great price! Add all that up and The Colonial House provides an amazing value for students! https://www.the-colonial-house.com/",558.766575457424,679.692451120062
"COTTONWOOD - MEN","M","42 S 1ST W","208-356-9576",995,995,60,100,150,1,"www.cottonwoodstudentapartments.com",43.82469723,-111.7871091,"Men's and Women's Housing. FREE Laundry!
Perfect for students of all ages with something for everyone.
Nice courtyard, lounge, game room, fruit trees, basketball court, volleyball net, fire pit, and a covered bike area!

Less than 2 blocks from campus and close to Broulims' groceries and downtown Rexburg. 
LOTS OF PARKING TOO!
Fall/Winter: $995
Spring: $895
Summer: $495",788.30661937543,1185.41311840504
"COTTONWOOD - WOMEN","F","42 S 1ST W","(208) 356-9576",995,995,84,100,150,1,"www.cottonwoodstudentapartments.com",43.82469723,-111.7871091,"Men and Women's Housing. FREE Laundry!
Perfect for students of all ages with something for everyone.
Nice courtyard, lounge, game room, fruit trees, basketball court, volleyball net, fire pit, and a covered bike area!

Less than 2 blocks from campus and close to Broulims' groceries and downtown Rexburg. 
LOTS OF PARKING TOO!
Fall/Winter: $995
Spring: $895
Summer: $495",788.30661937543,1185.41311840504
"COVE, THE - MEN","M","220 S 2ND W","208-701-4212",1668,1725,224,450,100,10,"rexburgcove.com",43.82126811,-111.7907327,"The Cove is truly a one of a kind community. Each apartment has a unique layout with options for large bedrooms, private bathrooms, and large spacious living areas. We are one block from campus, right next to Porter Park, and within walking distance to the grocery store. You can also spend time on our upper deck in the hot tubs while watching a show on our 9'x13' TV!",733.796578138373,1036.71986239614
"COVE, THE - WOMEN","F","220 S 2ND W","208-701-4212",1599,1649,342,450,100,10,"rexburgcove.com",43.82126811,-111.7907327,"The Cove is truly a one of a kind community. Each apartment has a unique layout with options for large bedrooms, private bathrooms, and large spacious living areas. We are one block from campus, right next to Porter Park, and within walking distance to the grocery store. You can also spend time on our upper deck in the hot tubs while watching a show on our 9'x13' TV!",733.796578138373,1036.71986239614
"CREEKSIDE COTTAGES - MEN","M","276 STEINER AVE","(208) 270-3207",1400,1500,10,10,100,3,"creeksidemensbyui.blogspot.com",43.81998311,-111.7942867,"Large house with 2 spacious apartments. A 3 bedroom main level and a 3 bed basement apartment. Both are fully furnished. Both feature leather furniture, fiber-optics, 2 refrigerators, 55'smart TVs, free Netflix, free laundry and a garage for storage. Just 2 1/2 blocks from campus. Great Ward! Great location. RM & MULTI-CONTRACT DISCOUNTS! YEAR ROUND LIVING! Come check us out!",964.399691792414,1185.91179398811
"CREEKSIDE COTTAGES - WOMEN","F","276 STEINER AVE","(208) 270-3207",1366.67,1500,24,28,100,6,"creeksidewomenbyui.blogspot.com",43.81998311,-111.7942867,"Three beautiful, private, clean, peaceful BYUI Women's houses. Located 2½ blocks west of campus. Offering: free in apt washer/dryers, Roku, Wi-Fi, Netflix, 55"" TVs, all fully furnished. Rent includes a large garage for storage. Awesome Bishop and a great ward! RM & MULTI-CONTRACT DISCOUNTS! Year round living! Come check us out!",964.399691792414,1185.91179398811
"CRESTWOOD APARTMENTS","M","235 S 1ST E","208-274-3828",995,995,50,30,75,3,"crestwoodrexburg.managebuilding.com/Resident/public/home",43.82107459,-111.7804787,"Featuring reliable 1GB dedicated fiber optic internet; transmit and receive data without a dip; perfect for serious students with a need for dependable online connections, this is an unparalleled service for student housing in Rexburg. Crestwood is also an affordable, great place to live! with free onsite laundry facilities  Our tenants are awesome and our location can't be beat!",334.469344698158,691.752015212337
"CRESTWOOD COTTAGE","F","221 S 1ST E","208-274-3828",995,995,10,10,75,3,"crestwoodrexburg.managebuilding.com/Resident/public/home",43.82124102,-111.7806664,"Crestwood is an affordable, great place to live! We offer free onsite laundry facilities and 1 gig dedicated fiber internet! Our tenants are awesome and our location can't be beat!",344.062650278601,708.839151798465
"CRESTWOOD HOUSE","M","235 S 1ST E","208-274-3828",895,895,11,10,75,3,"crestwoodrexburg.managebuilding.com/Resident/public/home",43.82093912,-111.7805055,"Featuring reliable 1GB dedicated fiber optic internet; transmit and receive data without a dip; perfect for serious students with a need for dependable online connections. Per capita, this is an unparalleled service for student housing in Rexburg. Crestwood is also an affordable, great place to live! with free onsite laundry facilities  Our tenants are awesome and our location can't be beat!",320.298498707401,676.560152159905
"DAVENPORT APARTMENTS","F","145 W 3RD S","208-356-3216",895,895,71,31,100,3,"davenportapartments.net",43.81930189,-111.7882195,"Davenport has an ideal price and an ideal location, we're 1/2 block from campus. We offer FREE LAUNDRY and recently upgraded Fiber Optic Internet.  We are well-known for our large living spaces, home-like atmosphere, fun and social wards and our WONDERFUL tenants! Discounts available for RM's.",470.779833827707,740.078212899237
"DELTA PHI APARTMENTS","M","139 VIKING DR","208-359-8015",1145,1195,60,44,150,3,"www.deltaphiapts.com",43.81708401,-111.7880532,"Steps away from campus, we are located next to the BYU-Idaho Center.  You will find our clean and well maintained apartments friendly and inviting with a relaxed atmosphere. Student- friendly fully furnished apartments with Optix high speed internet, on-site laundry, parking and a Gaming Lounge.  We pride ourselves in our affordable pricing and being recommended by previous tenants!",472.244598718941,593.024613304489
"GATES, THE - MEN","M","370 W 7TH S","208-356-6686",1752.5,1820,282,206,150,3,"www.thegatesatrexburg.com",43.81406091,-111.7939299,"The Gates is a top-of-the-line affordable Townhome. Some of the largest rooms in Rexburg with personal closets and separate bathrooms for each bedroom. There are 2 fridges and washers and dryers in your apartment! Reserve our 12-couch theater room, work out in our weight room, or hang out in our new hot tub. You’ll save hundreds on laundry, utilities, and parking. Call today!",1041.07202554385,1017.00939631583
"GATES, THE - WOMEN","F","350 W 6TH S","208-356-6686",1752.5,1820,300,224,150,3,"www.thegatesatrexburg.com",43.81406091,-111.7939299,"The Gates is a top-of-the-line affordable Townhome. Recently built it features some of the largest rooms in Rexburg with personal closets and separate bathrooms for each bedroom. There are 2 fridges and free washers and dryers in your townhome! Reserve our 12 couch theater room or work out in our weight room. You’ll save hundreds on laundry, utilities and parking. Call today! We have a hot tub!!",1041.07202554385,1017.00939631583
"GEORGETOWN APARTMENTS","M","236 W 3RD S","208-359-3191",1145,1145,72,51,150,1,"rexburghousing.com/georgetown",43.82025017,-111.7905852,"This Men's complex is only a block from campus, Georgetown's great location is central to Rexburg's finest. You'll enjoy the grill, outdoor basketball hoop, and proximity to different shops, parks, and more. Living in a Rexburg Housing community means you'll also have free and open access to the amenities at 6 other properties such as pools, hot tubs, study centers, theater rooms, and more!",681.601590550795,953.542135249068
"GREENBRIER - MEN","M","129 PRINCETON CT","208-356-3001",1115,1115,48,40,80,1,"www.rexburgstudenthousing.com/new/property/8",43.82296721,-111.7790142,"With men and women’s housing in adjacent Greenbrier buildings, there is a fantastic sense of community and a terrific social environment! Residents love the huge sun windows in the living room and the washer/dryer in each unit. You’ll enjoy tons of greenspace for games, volleyball, a basketball court, firepits, and a lounge for fun, music, and study!",575.507063329259,917.833982803505
"GREENBRIER - WOMEN","F","129 PRINCETON CT","208-356-3001",1216.67,1625,92,40,80,9,"www.rexburgstudenthousing.com/new/property/8",43.82296721,-111.7790142,"With men and women’s housing in adjacent Greenbrier buildings, there is a fantastic sense of community and a terrific social environment! Residents love the huge sun windows in the living room and the washer/dryer in each unit. You’ll enjoy tons of greenspace for games, volleyball, a basketball court, firepits, and a lounge for fun, music, and study!",575.507063329259,917.833982803505
"GREENBRIER HOUSE","M","129 PRINCETON CT","208-356-3001",1320,1320,6,40,80,1,"www.rexburgstudenthousing.com/new/property/9",43.82296721,-111.7790142,"With men and women’s housing in adjacent Greenbrier buildings, there is a fantastic sense of community and a terrific social environment! Residents love the huge sun windows in the living room and the washer/dryer in each unit. You’ll enjoy tons of greenspace for games, volleyball, a basketball court, firepits, and a lounge for fun, music, and study! Plus a fun and friendly staff.",575.507063329259,917.833982803505
