LDS ed.,Date,By,Summary
81,15 Mar 1832,Joseph Smith,To Jesse Gause; on 18 Mar 1833 its application was transferred to Frederick G. Williams
82,26 Apr 1832,Joseph Smith,Obedience; United Order; equality
83,30 Apr 1832,Joseph Smith,Husbands and fathers; widows and orphans
84,22 Sep 1832,Joseph Smith,Priesthood
85,27 Nov 1832,Joseph Smith (letter),Letter from Joseph Smith to W. W. Phelps; United Order; One Mighty and Strong; equality
86,6 Dec 1832,Joseph Smith,Parable of the Tares explained
87,25 Dec 1832,Joseph Smith,Prophecy of war and calamity
88,27 Dec 1832,Joseph Smith,"The ""olive leaf""; ""Lord's message of peace"""
89,27 Feb 1833,Joseph Smith,"A ""Word of Wisdom"""
90,8 Mar 1833,Joseph Smith,Keys of the kingdom; First Presidency
91,9 Mar 1833,Joseph Smith,The Apocrypha
92,15 Mar 1833,Joseph Smith,To Frederick G. Williams
93,6 May 1833,Joseph Smith,John’s record of Christ; intelligence; innocence of children
94,2 Aug 1833,Joseph Smith,"To Hyrum Smith, Reynolds Cahoon, and Jared Carter; construction of various buildings commanded"
95,1 Jun 1833,Joseph Smith,Kirtland Temple to be built; purpose of temples
96,4 Jun 1833,Joseph Smith,Division of property
97,2 Aug 1833,Joseph Smith,"Saints in Jackson County, Missouri; temple to be built in Jackson County"
98,6 Aug 1833,Joseph Smith,Promises and warnings; martyrs; when war is justified; forgiving enemies
99,29 Aug 1832[19],Joseph Smith,To John Murdock
100,12 Oct 1833,Joseph Smith and Sidney Rigdon,Joseph Smith and Sidney Rigdon to preach gospel; Rigdon to be Smith's spokesman; welfare of Orson Hyde and John Gould
101,16 Dec 1833,Joseph Smith,Redemption of Zion; parables; United States and the U.S. Constitution; Saints to seek redress
102,17 Feb 1834,Oliver Cowdery and Orson Hyde (minutes of meeting),Minutes for first high council meeting
103,24 Feb 1834,Joseph Smith,Redemption of Zion; organization of Zion's Camp
104,23 Apr 1834,Joseph Smith,United Order
105,22 Jun 1834,Joseph Smith,Redemption of Zion; purpose of Kirtland Temple; peace
106,25 Nov 1834,Joseph Smith,To Warren A. Cowdery; Second Coming
107,1 Apr 1835,Joseph Smith,Priesthood; quorums
108,26 Dec 1835,Joseph Smith,To Lyman Sherman
109,27 Mar 1836,Joseph Smith (prayer),Dedicatory prayer for Kirtland Temple
110,3 Apr 1836,Joseph Smith and Oliver Cowdery (vision and angelic visitations),"Visitation of Jesus Christ to accept Kirtland Temple; conferral of priesthood keys; coming of Moses, Elias, and Elijah"
111,6 Aug 1836,Joseph Smith,temporal needs of the church
112,23 Jul 1837,Joseph Smith,To Thomas B. Marsh; Quorum of the Twelve Apostles; First Presidency
113,1 Mar 1838,Joseph Smith (answers to questions),Answers to questions on the Book of Isaiah
114,11 Apr 1838,Joseph Smith,Concerning David W. Patten
115,26 Apr 1838,Joseph Smith,"Name of the church; stakes; temple to be built at Far West, Missouri"
116,19 May 1838,Joseph Smith,Adam-ondi-Ahman
117,8 Jul 1838,Joseph Smith,"Concerning William Marks, Newel K. Whitney, and Oliver Granger; property; sacrifice"
118,8 Jul 1838,Joseph Smith,Vacancies in the Quorum of the Twelve Apostles filled
119,8 Jul 1838,Joseph Smith,Tithing
120,8 Jul 1838,Joseph Smith,Council on the Disposition of the Tithes
121,20 Mar 1839,Joseph Smith (prayer and prophecies),Prayer and prophecies of Joseph Smith; why many are called but few chosen
122,20 Mar 1839,Joseph Smith,Destiny of Joseph Smith
123,20 Mar 1839,Joseph Smith (letter),Letter to church; duty in relation to their persecutors
124,19 Jan 1841,Joseph Smith,Nauvoo Temple and Nauvoo House to be built; baptism for the dead
125,1 Mar 1841,Joseph Smith,Saints in Iowa
126,9 Jul 1841,Joseph Smith,To Brigham Young
127,1 Sep 1842,Joseph Smith (letter),Letter to church; baptism for the dead
128,6 Sep 1842,Joseph Smith (letter),Letter to church; baptism for the dead
129,9 Feb 1843,Joseph Smith (instructions),Distinguishing the nature of angels and disembodied spirits
130,2 Apr 1843,Joseph Smith (instruction),Various items of instruction; corporeal nature of God and Jesus Christ; intelligence; seer stones
131,16 May 1843,Joseph Smith (instruction),Various items of instruction; celestial marriage; eternal life
132,12 Jul 1843,Joseph Smith,Plural marriage; celestial marriage; sealing power; exaltation
133,3 Nov 1831,Joseph Smith,"Original ""Appendix""; Second Coming; missionary work"
134,17 Aug 1835,Church (declaration),secular governments and laws in general
135,27 Jun 1844,John Taylor (eulogy),Martyrdom of Joseph Smith and Hyrum Smith
136,14 Jan 1847,Brigham Young,Organization of Mormon pioneer westward journey
137,21 Jan 1836,Joseph Smith (vision),Salvation for the dead; salvation of little children
138,3 Oct 1918,Joseph F. Smith (vision),Jesus Christ preached to spirits in prison; salvation for the dead
